max_abs_dV,exact_ln_ratio,lower,upper,first_order,force_rmse
6.000000000000000000e+00,-8.280429434394032118e-01,-1.218967608886579956e+00,1.146967548471476750e+00,5.115573022462792663e-01,1.250903572588141088e+01
6.000000000000000000e+00,-1.690900416384454097e+00,-1.852893080901223843e+00,2.871144750594241124e-01,2.014061000968260240e-01,1.048310076949218406e+01
6.000000000000000000e+00,-1.801639321077126155e-01,-1.240901012767114509e+00,3.024417689509173446e-03,1.771622702530425419e-01,2.052408172797569463e+01
6.000000000000000000e+00,-1.769895060019844868e+00,-1.971854970727632939e+00,-9.816260544454260550e-01,-2.903950262214370914e-01,1.970124153632062658e+01
6.000000000000000000e+00,-1.608606283542339810e+00,-3.707168907269352331e+00,7.908660721307880781e-01,2.546031482807472601e-01,1.253199290799611276e+01
6.000000000000000000e+00,-2.227559739602632316e+00,-2.295282331965034839e+00,5.317334304863270411e-01,1.536177093356498879e-01,1.273254989797886871e+01
6.000000000000000000e+00,-1.805596046273492961e-01,-4.219980524452740522e-01,7.389965666667126509e-01,1.050517753775638274e-01,7.668447997541011141e+00
6.000000000000000000e+00,-1.959466046668352779e-01,-4.168651807582434698e-01,3.396991297889204731e-01,1.170908235925606222e-01,9.912706206481272986e+00
6.000000000000000000e+00,-1.145473076613734209e+00,-1.558933252685521520e+00,8.570981035261349135e-01,2.314328529651403787e-01,1.740090044897934973e+01
6.000000000000000000e+00,-3.832709511399221003e-01,-2.535635790491436836e+00,1.838219763163670417e-01,-8.214751970376266144e-02,1.241540739042319430e+01
6.000000000000000000e+00,-1.625837975610745056e+00,-1.701475377155200697e+00,-1.249235384481855560e+00,-3.549560776627024294e-01,1.525745101641711088e+01
6.000000000000000000e+00,-1.374477845656734365e+00,-1.840370767253296291e+00,4.897606646569589994e-01,5.735384529701981204e-02,1.388922649354010019e+01
