ln_total,ln_teacherlike,sd,ln_spurious,prereg_series,prereg_sd,prereg_upper
1.321804392106390225e+00,5.061611968105065307e-01,5.870317570905369403e-02,7.572326029204471398e-01,5.999999999999999778e-01,4.000000000000000083e-02,6.199999999999999956e-01
2.036534658772427342e+00,8.183581930389017822e-01,4.492777708622756189e-02,1.696236252579243153e+00,9.499999999999999556e-01,1.000000000000000056e-01,7.600000000000000089e-01
2.957235960791367635e+00,1.142521926860436299e+00,4.082987839550743236e-02,2.784251394411908276e+00,1.300000000000000044e+00,8.000000000000000167e-02,1.360000000000000098e+00
