round,n_labels_after,force_rmse_meVA,student_transitions_in_2ns,reactive_frames,unusable_labels
0.000000000000000000e+00,1.742000000000000000e+03,1.486116249375079406e+02,2.020000000000000000e+02,4.880000000000000000e+02,8.000000000000000000e+00
1.000000000000000000e+00,1.992000000000000000e+03,1.680211640290027333e+02,4.600000000000000000e+01,1.540000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+00,2.242000000000000000e+03,1.610879674169628686e+02,6.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00
