round,unc,lev,cert,cert_orc
0.000000000000000000e+00,1.848702820558076443e+00,1.848702820558077775e+00,1.848702820558077775e+00,1.848702820558073334e+00
1.000000000000000000e+00,1.833294809431892602e+00,5.698838726219312978e-01,9.862344568739003225e-01,2.908295476186344430e-01
2.000000000000000000e+00,1.844300535918831807e+00,2.537660236656485435e-01,7.304366901207959284e-01,8.165118956562589236e-02
3.000000000000000000e+00,1.827146229501720676e+00,2.864232736956642267e-01,1.871900817074008683e-01,5.776180761120604246e-02
4.000000000000000000e+00,1.862536673604554771e+00,4.032258455861127411e-01,2.933756054261505986e-01,5.492847948779337047e-02
5.000000000000000000e+00,1.093484111835660855e+00,4.372637063592714757e-01,3.466677953975456639e-01,4.270871298742442979e-02
6.000000000000000000e+00,8.398070764220959550e-01,4.654997206755067118e-01,2.441487790088656129e-01,3.547548409009850662e-02
7.000000000000000000e+00,9.446815444443619203e-01,4.714442222310858410e-01,1.277367347317656110e-01,3.578849667010100544e-02
8.000000000000000000e+00,6.969997176896185476e-01,4.800625473566423329e-01,7.042270756771915052e-02,3.046426866087396934e-02
9.000000000000000000e+00,6.682784071585512464e-01,4.868123287381449504e-01,9.786211179054660203e-02,2.691730369464776992e-02
1.000000000000000000e+01,4.540803611506559201e-01,5.438612419722208546e-01,4.206404444708098517e-02,2.344953773209558501e-02
1.100000000000000000e+01,1.396780791644434694e-01,5.753774019230843972e-01,5.345414164147166414e-02,2.328701283402732566e-02
1.200000000000000000e+01,1.514491280351212554e-01,5.770907322726068767e-01,4.095551313343857858e-02,2.017124452656828687e-02
