2.072978666448721530e+00,1.532450158905688475e+00,1.315156294580891450e+00,1.364836996378578027e+00,7.913290359931446361e-01,1.961302205002313781e-01,2.611772595539341713e-01,4.267848938906558254e-01,3.366582341087894781e-01,1.828595576746532836e-01,9.209466962887559102e-03,8.098409190248460898e-02,3.851866002085812396e-02
1.754024656709590291e+00,4.400187548421175543e-01,2.448187767177826147e-03,2.402507316608326962e-02,2.211265873707035923e-01,1.383738746837130662e-01,8.735875078163912733e-02,1.036523158275299561e-01,6.123440739430349028e-02,9.922570486192905728e-03,3.786062723382431494e-02,4.068368455007055629e-02,2.948471973246693731e-02
1.775875594692866599e+00,1.342146490753917953e-01,7.573291292379043249e-02,7.895411338886292041e-02,2.691246724572466387e-01,3.257185098378807542e-01,2.271202984637991917e-01,1.518211536360052627e-01,1.886362207241414068e-02,1.241417665934770459e-01,4.411029733937533309e-02,6.622459873286279386e-02,4.871786480592790042e-02
1.985793230857802127e+00,3.024275447363454772e-01,1.457170856606985476e-01,1.394831661454817018e-01,3.176265383950505061e-01,4.289282786036766604e-01,2.991297840429589239e-01,6.110447613981612874e-02,8.211478547549427159e-03,7.158245698762011333e-02,4.001779155478880218e-02,2.073319220931884796e-02,4.339236624600861791e-02
1.728473510431193239e+00,1.753235160660343794e+00,1.476273484619601728e+00,2.348969972693140951e-01,1.902256115106791268e-01,3.676170809572071319e-01,1.789559006626922563e-02,3.050195864246484437e-02,7.961100774114164558e-02,5.299939610498249215e-02,6.021082263533217294e-02,2.960506112793900163e-02,1.285786074561407616e-02
1.921530046423284288e+00,1.910017535313826009e+00,1.692688816239811489e+00,1.665219918895264106e+00,1.724714166230619794e+00,1.575039307886544560e+00,1.697617133609531592e+00,1.765935224784518587e+00,1.605105034194983737e+00,1.658997599359975483e+00,1.698809041908271089e+00,1.716346977898828730e+00,1.733765781414720708e+00
1.935708574421587613e+00,8.042025974956278356e-01,8.839741156207271411e-01,5.105572778507014853e-01,5.644740472060849612e-01,4.603596777432629183e-01,4.927681826465758474e-01,5.877205805295465657e-01,3.077030583173102629e-01,3.411919774880464162e-01,3.431665439972138021e-01,3.497906946343012358e-01,2.714938990140137731e-01
2.083872339187884837e+00,1.194991752409696018e+00,2.748684060263772988e-01,2.649726429140297768e-01,7.638147001176401329e-02,1.942149059281625054e-02,1.100451744409165211e-01,4.551539084447735889e-02,1.735787175049243901e-03,1.533861566657172826e-01,1.673096662582571059e-01,9.142884720478657024e-02,1.004559656507981735e-01
1.931789096062607625e+00,4.968000208673331586e-01,2.861570644639262473e-01,3.773406980497693852e-01,2.318655840147270664e-01,3.299377130614629672e-01,1.781471280632875021e-01,2.401636215865255997e-01,1.063202509980880894e-01,1.667217806849478623e-01,1.264332014621893929e-01,6.476363714189266318e-02,8.946590869803540402e-02
1.725221568013933116e+00,2.750653298967407068e-01,1.677456821782057350e-01,4.582569328230363670e-01,4.915482826456417653e-01,3.121763065320308783e-01,3.618549639137382257e-01,1.427896279316646921e-01,3.721476377327629509e-02,3.852249036368102925e-02,1.255558739093144173e-02,2.684533766095948196e-02,1.216838868865084168e-02
1.766809238226990431e+00,3.281076332332750756e-01,4.544819931307628180e-01,3.682506325864010749e-02,4.707761567461643537e-02,1.534523802390968805e-01,1.250634615482466502e-02,6.799779944602423777e-03,1.021692842439301946e-01,1.351900059202702231e-01,1.014470693489920305e-01,1.486339744294866982e-01,1.416263140462838688e-01
1.565400511009826356e+00,1.932467285232419008e-01,1.417158678700077279e-01,4.710044036198637318e-01,2.715654923860391645e-01,3.117589061440620424e-01,2.355031751728920986e-01,1.791378752336226787e-01,2.523135299395756759e-02,6.077883704326945968e-02,1.032517268351588746e-01,7.198831828265450650e-02,8.188965202407874622e-02
1.687904324561040115e+00,5.743209148135486330e-01,1.644997667769859950e-01,1.584257220487964371e-02,1.872073474786974112e-01,5.103758533475175746e-02,8.123321551549593511e-03,5.702866079884578998e-02,4.181975256753901748e-02,1.733310306177987883e-02,2.912617698845145972e-02,1.072422118280203646e-02,3.041578871597701642e-03
1.797624029121455358e+00,1.655200434069974968e-01,9.416245076466549235e-02,4.863597189724103154e-01,3.115121409008952957e-01,1.220848201567529059e-02,4.842813225561097557e-02,2.949339490963657703e-02,3.664106445498746534e-02,1.110834391156468176e-01,1.813532698836972656e-02,5.882043685304985496e-03,4.957425685130519705e-03
1.979020110741954497e+00,3.001676012591923404e-01,1.687751366450317703e-01,3.022492805049096024e-02,2.574883562848586660e-01,2.158038701806263560e-01,1.092760732348768520e-02,8.252400498310696886e-02,3.068547863502354631e-02,4.183484290340636763e-02,9.530131043221778953e-02,9.786578201732840099e-02,9.029479091005879199e-02
1.764977677673432943e+00,1.611522709848150381e+00,1.801619422975581974e+00,1.941205553623933433e+00,8.599872573308714463e-01,1.493755686152397621e-01,3.238006132766248907e-02,1.112860686259463244e-01,1.712258895984524187e-01,2.070329637299444248e-01,7.572318844823863748e-02,5.870830744639136956e-02,5.363135426434667563e-02
