student,lower,upper,sd_nu,measured,se
S1,0.04120614887139823,0.06142804199466928,0.14218095077997187,0.21256895969519243,0.08092401372601828
S2,0.07098421863381887,0.10340433258564682,0.17989115279819629,0.17925630443638235,0.06622005282303726
S3,0.1180921805715327,0.14982898388589108,0.178164546450715,0.12963526302232026,0.07988640772726326
S4,0.023089753003864844,0.07957574873091533,0.23694294185224216,0.1340552163458885,0.0671453592161988
S5,0.1256580682037738,0.29972968123800126,0.41684902912008864,0.3623368115263908,0.08366345691613304
S6,0.5021130656597741,0.8444891030477883,0.5830776016082697,0.8982287676855193,0.0911470768433499
S6b,-0.004998489607456413,0.135548001235696,0.37472183332250314,0.2945105788580679,0.06576258566122942
S6c,0.20677635766246283,0.4145034845941753,0.4563306576188806,0.7703126241904956,0.06617342959976377
