round,n_labels,force_rmse_meVA,bracket_width_oracle,frac_selected_in_barrier_window
0.000000000000000000e+00,1.500000000000000000e+03,1.462048967393642158e+02,2.941327927986887136e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.750000000000000000e+03,1.402575400234915435e+02,2.118040205402510479e-01,9.719999999999999751e-01
2.000000000000000000e+00,2.000000000000000000e+03,1.368450983380685955e+02,2.140327529653830996e-01,9.399999999999999467e-01
3.000000000000000000e+00,2.250000000000000000e+03,1.336698401345239802e+02,2.366264834289271146e-01,8.253333333333333632e-01
