amp_kT,nAB,nBA,measured_ln_ratio,sd,bracket_lower,bracket_upper,first_order,sqra_msm
3.000000000000000444e+00,2.510000000000000000e+02,2.490000000000000000e+02,-6.343550905451115218e-01,5.631127939723648557e-02,-1.508319980006514127e+00,-6.635400462540291810e-01,-1.043332187989047144e+00,-6.955026769791303742e-01
-3.000000000000000444e+00,1.229000000000000000e+03,1.229000000000000000e+03,1.063323612673670482e+00,3.972146790357394819e-02,6.548407667664734033e-01,1.499620700518958349e+00,1.043332187989047144e+00,1.260565744272272637e+00
2.912415399957472006e-01,4.700000000000000000e+02,4.690000000000000000e+02,7.633088677655947007e-02,4.728554656190631089e-02,2.971254120628550981e-03,2.972948138028818407e-03,3.118041777733655904e-03,2.433209841510728267e-03
6.794145551315404763e-01,4.280000000000000000e+02,4.280000000000000000e+02,3.110908174830072093e-01,4.836511642102239716e-02,2.671371843581978878e-01,2.672760959002726255e-01,2.871799972798584344e-01,2.607799654117737842e-01
3.158470524042765737e-01,4.530000000000000000e+02,4.510000000000000000e+02,-6.658721475915301002e-02,4.771954397958048932e-02,2.978105391412977972e-03,2.978105391413088995e-03,3.156438470819054008e-03,2.927524392340569680e-03
