beta,D_over_D0,Ea_finite_difference,Ea_leverage_formula
5.000000000000000000e-01,6.823225142971685031e-01,1.085180560923298954e+00,1.085181233557348746e+00
1.000000000000000000e+00,4.088909651194888584e-01,9.763067875827036168e-01,9.763065852714735149e-01
2.000000000000000000e+00,1.388391728997418195e-01,1.222437189358105414e+00,1.222437215278998401e+00
3.000000000000000000e+00,3.662430970176733941e-02,1.417067599807086964e+00,1.417067618377715998e+00
2.000000000000000000e+00,nan,-6.583505182933269140e-02,-6.583505590093130522e-02
2.000000000000000000e+00,nan,-1.488562771466694912e-01,-1.488562938297484095e-01
2.000000000000000000e+00,nan,-7.652210520492364054e-02,-7.652211262735431063e-02
2.000000000000000000e+00,nan,7.254717311022673698e-02,7.254717631051432747e-02
2.000000000000000000e+00,nan,1.399634559728912819e-01,1.399634595638330481e-01
