amp_kT,nAB,nBA,measured_ln_ratio,sd,bracket_lower,bracket_upper,first_order,sqra_msm
3.000000000000000444e+00,2.360000000000000000e+02,2.360000000000000000e+02,-6.394178842756178538e-01,5.668100185702897725e-02,-1.508319980006514127e+00,-6.635400462540291810e-01,-1.043332187989047144e+00,-6.955026769791303742e-01
-3.000000000000000444e+00,1.572000000000000000e+03,1.572000000000000000e+03,1.188837135527613720e+00,3.757869158819564931e-02,6.548407667664734033e-01,1.499620700518958349e+00,1.043332187989047144e+00,1.260565744272272637e+00
2.912415399957472006e-01,4.940000000000000000e+02,4.950000000000000000e+02,7.162278314970052517e-02,4.588261380440040310e-02,2.971254120628550981e-03,2.972948138028818407e-03,3.118041777733655904e-03,2.433209841510728267e-03
6.794145551315404763e-01,4.680000000000000000e+02,4.690000000000000000e+02,2.138026663055302423e-01,4.649008241383079110e-02,2.671371843581978878e-01,2.672760959002726255e-01,2.871799972798584344e-01,2.607799654117737842e-01
3.158470524042765737e-01,4.970000000000000000e+02,4.960000000000000000e+02,3.486071479483380392e-02,4.583820730719993797e-02,2.978105391412977972e-03,2.978105391413088995e-03,3.156438470819054008e-03,2.927524392340569680e-03
