x,y
3.000000000000002665e-02,9.600000000000001865e-01
9.899999999999999911e-01,0.000000000000000000e+00
3.000000000000000444e-01,-9.299999999999999378e-01
-5.999999999999983125e-02,-9.599999999999999645e-01
-2.999999999999998224e-01,-9.299999999999999378e-01
-1.020000000000000018e+00,-2.999999999999980460e-02
1.050000000000000044e+00,3.000000000000002665e-02
1.200000000000001066e-01,-9.599999999999999645e-01
-1.109999999999999876e+00,0.000000000000000000e+00
-3.599999999999998757e-01,-9.000000000000000222e-01
1.050000000000000044e+00,3.000000000000002665e-02
3.600000000000000977e-01,-9.000000000000000222e-01
6.000000000000005329e-02,9.600000000000001865e-01
-1.140000000000000124e+00,0.000000000000000000e+00
