round,n_labels_after,force_rmse_meVA,student_transitions_in_2ns,reactive_frames,unusable_labels
0.000000000000000000e+00,1.746000000000000000e+03,1.459614664943169373e+02,1.720000000000000000e+02,4.480000000000000000e+02,4.000000000000000000e+00
1.000000000000000000e+00,1.992000000000000000e+03,1.723245880974318993e+02,9.000000000000000000e+01,3.180000000000000000e+02,4.000000000000000000e+00
2.000000000000000000e+00,2.242000000000000000e+03,1.846660601668209267e+02,1.000000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00
