B_kT,Dxx_over_D0,cond_numeric
1.000000000000000000e+00,9.474975269393596244e-01,3.454601785867066066e-02
2.000000000000000000e+00,8.355409274164761202e-01,5.783540200669744918e-02
4.000000000000000000e+00,6.276062038876180083e-01,7.252211164119008735e-02
6.000000000000000000e+00,5.077306376062821203e-01,6.690637431611522190e-02
8.000000000000000000e+00,4.368821298926094943e-01,6.402536353825936943e-02
1.000000000000000000e+01,3.852976497292448510e-01,6.793724177067016201e-02
