B_kT,D_over_D0,cond_numeric,cond_closed_form
1.000000000000000000e+00,8.841757702594263968e-01,1.143511669369025596e-01,3.070011994477144790e-01
2.000000000000000000e+00,6.238604463238360820e-01,2.407779693929802123e-01,3.654817125065895622e-01
4.000000000000000000e+00,1.924369613208406771e-01,6.096052855098212930e-01,6.580594523504297300e-01
6.000000000000000000e+00,4.197779486624248629e-02,1.391200149981645984e+00,1.408962928673590964e+00
8.000000000000000000e+00,7.828811835015190429e-03,3.256214172172959387e+00,3.262582102852143784e+00
1.000000000000000000e+01,1.347691468079382148e-03,7.861196258869783016e+00,7.863468248237166058e+00
1.200000000000000000e+01,2.212165301263332843e-04,1.940806469841478687e+01,1.940888509866827150e+01
1.400000000000000000e+01,3.518172339399481250e-05,4.866849604216197633e+01,4.866882060598990734e+01
