round,n_labels,force_rmse_meVA,bracket_width_oracle,frac_selected_in_barrier_window
0.000000000000000000e+00,1.500000000000000000e+03,1.462048967393642158e+02,2.941327927986887136e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.750000000000000000e+03,1.396766860687822884e+02,1.324712590630974685e+00,6.800000000000000488e-02
2.000000000000000000e+00,2.000000000000000000e+03,1.373927231876018311e+02,1.873573891183385687e+00,5.600000000000000117e-02
3.000000000000000000e+00,2.250000000000000000e+03,1.340102275807842034e+02,2.566287304197785168e+00,5.466666666666666896e-02
