median_abs_ln_ratio,worst_abs_ln_ratio,median_force_rmse,median_bracket_width
3.458483865593254408e-02,5.340168774502689342e-01,1.815728492105393443e-01,1.384100147753744570e-01
4.072785240391355900e-03,8.059962819923143645e-03,8.348851436348520005e-02,1.575959879335521972e-03
4.610421998856768094e-03,1.161205097557639621e-02,1.151993047404335779e-01,2.149901169498960943e-03
