round,n_labels,force_rmse_meVA,bracket_width_oracle,frac_selected_in_barrier_window
0.000000000000000000e+00,1.500000000000000000e+03,1.486116249375079406e+02,2.244721028292286036e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.750000000000000000e+03,1.408263606912557577e+02,2.654887254155645082e-01,9.839999999999999858e-01
2.000000000000000000e+00,2.000000000000000000e+03,1.344871002950147556e+02,1.789594237113633635e-01,9.320000000000000506e-01
3.000000000000000000e+00,2.250000000000000000e+03,1.309562541284734891e+02,2.185882432688983634e-01,8.293333333333333668e-01
