force_rmse_meVA,energy_rmse_kT,dV_sd_on_paths_kT,bracket_lower,bracket_upper,first_order,per_path,basinB_minus_basinA_offset_kT,series_law,sd_lower,sd_upper,sd_series
1.284329128067890622e+02,0.000000000000000000e+00,1.085674615639894425e+00,-1.346496003957103227e+00,-6.715484460853970994e-02,1.747721431374721912e-01,-1.080159427045830567e+00,4.648800817186243134e-02,-1.278637142173201235e-01,1.166125675566327402e-01,9.804172953780708466e-02,7.430241614111132709e-02
1.336698401345239802e+02,0.000000000000000000e+00,1.093471962188270474e+00,-1.631423556785095208e+00,-8.730687339910336853e-03,1.808458789762582564e-01,-4.178018039209996370e-01,1.951019179150780686e-02,-3.333201083712933332e-02,3.480958896606602404e-01,1.544872711571915191e-01,7.969047151110705829e-02
1.322100770827083522e+02,0.000000000000000000e+00,1.494736634454342239e+00,-2.928518573801441427e+00,1.404421868869727419e+00,1.559191473135067119e+00,6.885849405184392147e-01,2.114110750484163026e-01,1.305820535901898616e+00,1.136695526042886373e+00,1.177643493674055269e-01,7.741344487904711080e-02
1.340102275807842034e+02,0.000000000000000000e+00,1.461763309683994594e+00,-2.195232596765668731e+00,1.027600382625523334e+00,1.103801173520986945e+00,8.241818659821353865e-01,3.219080372983646465e-01,9.300125998953734374e-01,7.132439843054525497e-01,1.805775813938085839e-01,1.246255808793215042e-01
1.258099791463615702e+02,0.000000000000000000e+00,1.274541421637512828e+00,-1.459434249313890763e+00,8.527691088817197507e-01,9.290421653497399346e-01,-7.293791693944395860e-02,4.753724092235479814e-02,9.053356599364204005e-01,6.018485426130932847e-01,1.971938845687793151e-01,8.747991158658474653e-02
1.317332909652751027e+02,0.000000000000000000e+00,1.356477356714988369e+00,-5.693173008752847597e-01,7.033221320419962286e-01,1.422754353027219087e+00,nan,2.080757427273261517e-01,1.523434301246712641e+00,3.243219638055838128e-01,8.330764883782356689e-01,1.049950522769336481e-01
