round,n_labels,force_rmse_meVA,bracket_width_oracle,frac_selected_in_barrier_window
0.000000000000000000e+00,1.500000000000000000e+03,1.486116249375079406e+02,2.244721028292286036e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.750000000000000000e+03,1.394288417248897360e+02,2.532664458807108776e+00,1.199999999999999956e-01
2.000000000000000000e+00,2.000000000000000000e+03,1.299573917612474929e+02,1.446379072488443995e+00,1.199999999999999956e-01
3.000000000000000000e+00,2.250000000000000000e+03,1.273228877258985960e+02,1.019942007939801609e+00,1.506666666666666710e-01
