exact_ln_ratio,signed_pred_true_phi,squared_Ldyn_over_lambda,force_rmse,signed_pred_model_phi,max_abs_dV
1.034373163148470318e-03,1.035182340458916644e-03,8.834938498534145035e-02,5.000000000000000104e-03,1.033585285007428741e-03,2.953588076620686838e-03
-5.067575200919623764e-04,-5.067750783437875110e-04,1.055392941219612801e-01,5.000000000000000104e-03,-5.067175901838463000e-04,1.583214354629873099e-03
4.966422225884079465e-07,6.668530608387259910e-07,2.069591209199611870e-01,5.000000000000000104e-03,3.160396108696509283e-07,1.327368734593951200e-03
3.053359305407552936e-04,3.054820873712570258e-04,7.626449369569138215e-02,5.000000000000000104e-03,3.051798918867661419e-04,2.239594073622543959e-03
-8.054172449661386318e-03,-8.052024592439517223e-03,2.184860108858779904e-01,5.000000000000000104e-03,-8.056315157112131989e-03,1.258928052948967390e-02
-5.359974231109756971e-04,-5.360719222828488851e-04,1.681491720773079694e-03,5.000000000000000104e-03,-5.359364852897167096e-04,1.716406793370508360e-03
4.120332790443208162e-04,4.120783222416324874e-04,7.547954929736860365e-03,4.999999999999999237e-03,4.119804505400330658e-04,7.537567478303181358e-04
2.870642880319754895e-05,2.890854197238204793e-05,9.283477809769594136e-02,5.000000000000000104e-03,2.851637589448921347e-05,1.549437916198436209e-03
4.531769917516395751e-06,4.559785162036404751e-06,6.712100313522822645e-03,5.000000000000000104e-03,4.516469694404226408e-06,4.452349224392863859e-04
1.225860925507648224e-03,1.230505330552267209e-03,9.018024605365618784e-01,5.000000000000000104e-03,1.221210310662990692e-03,7.347489665172259737e-03
-1.453239447988543881e-03,-1.453216269178135957e-03,8.437396471336602866e-02,5.000000000000000104e-03,-1.453255109949658187e-03,4.896327317367886976e-03
3.869367837470806185e-06,3.899337331039125386e-06,9.104504182304804308e-03,4.999999999999999237e-03,3.857005948106685981e-06,4.863557720260850434e-04
-4.934801207876898392e-05,-4.931174332403258457e-05,1.084592905575046222e-02,5.000000000000000104e-03,-4.937624251061874681e-05,7.528037268793802764e-04
-3.034848274686389883e-04,-3.034453301194908856e-04,9.912080591366796440e-04,5.000000000000000971e-03,-3.035341074824673144e-04,1.649588607490035282e-03
6.808223229899460762e-04,6.808637808100941827e-04,1.425842736672996644e-02,5.000000000000001839e-03,6.807789821721118087e-04,1.404741046176350219e-03
3.313963782884150476e-04,3.316257337763229033e-04,8.535510949580266127e-02,5.000000000000000104e-03,3.311655584269619710e-04,4.544801501203622231e-03
5.366069213391262346e-03,5.365191888025753683e-03,3.464862855409513442e-01,5.000000000000000104e-03,5.366950681285948335e-03,5.719946522411686884e-03
