x,y
1.500000000000001332e-01,-9.299999999999999378e-01
-8.999999999999985789e-02,-9.299999999999999378e-01
-2.700000000000000178e-01,-9.000000000000000222e-01
3.300000000000002931e-01,-9.000000000000000222e-01
-4.199999999999999289e-01,-8.399999999999999689e-01
-1.799999999999999378e-01,9.300000000000003819e-01
6.000000000000005329e-02,9.600000000000001865e-01
4.499999999999999556e-01,-8.099999999999999423e-01
2.700000000000002398e-01,9.300000000000003819e-01
1.020000000000000240e+00,-2.999999999999998224e-01
-1.020000000000000018e+00,-2.999999999999998224e-01
4.499999999999999556e-01,8.100000000000002753e-01
-5.400000000000000355e-01,-7.800000000000000266e-01
-2.099999999999999645e-01,-1.229999999999999982e+00
