name,ns_single,ns_defect,hops_single,hops_defect,rate_single,rate_defect,frac_defect_time,replicas_with_defect,nrep,var_over_mean_single
teacher_1000K_censored,4.3965,0.3535,533,110,121.23279881724099,311.1739745403112,0.07442105263157894,5,32,2.0774015347992685
teacher_900K,2.4048,0.1552,159,17,66.1177644710579,109.5360824742268,0.06062500000000001,2,32,1.7359649122807022
teacher_800K,0.64,0.0,25,0,39.0625,0.0,0.0,0,32,1.01875
S1_1000K,1.44957,0.15042999999999998,232,193,160.04746235090406,1282.988765538789,0.09401874999999998,8,64,1.0996961581660745
S2_1000K,2.80258,0.07742,406,23,144.86651585324952,297.0808576595195,0.026881944444444448,2,64,0.8821339950372208
S3_1000K,1.6337899999999999,0.28620999999999996,249,186,152.40636801547325,649.8724712623599,0.14906770833333333,17,64,1.381503053702028
S4_1000K,2.79446,0.08553999999999999,387,35,138.48829469736552,409.1653027823241,0.02970138888888889,3,64,0.9653634409856217
S5_1000K,1.13787,0.14213,245,175,215.31457899408545,1231.2671497924434,0.11103906250000001,13,64,1.996790590638558
S6_1000K,0.52952,0.11048,213,204,402.2510953316211,1846.4880521361333,0.172625,14,64,3.283052845764702
S1_900K,4.3882699999999994,0.09172999999999999,343,71,78.16292069539934,774.0106835277445,0.02047544642857143,2,64,0.9306787614999722
S2_900K,4.755529999999999,0.044469999999999996,401,2,84.32288304353038,44.974139869575,0.009264583333333335,1,64,0.7726757369614513
S3_900K,3.5760899999999998,0.26391,320,115,89.4832065188516,435.7546133151454,0.06872656249999999,8,64,1.213708310452969
S4_900K,5.4399999999999995,0.0,415,0,76.28676470588236,0.0,0.0,0,64,0.9204442771084337
S5_900K,2.07028,0.16971999999999998,231,181,111.57911007206755,1066.4624086731087,0.07576785714285714,12,64,1.750340374148217
S6_900K,1.55988,0.040119999999999996,441,59,282.71405492730213,1470.5882352941178,0.025075,4,64,8.6764332097255
S1_800K,6.64992,0.07008,280,59,42.105769693469995,841.8949771689497,0.01042857142857143,2,64,0.9509639826416533
S2_800K,6.72,0.0,288,0,42.85714285714286,0.0,0.0,0,64,0.9930555555555556
S3_800K,6.618589999999999,0.10141,310,27,46.83777058255611,266.24593235381127,0.015090773809523813,2,64,0.9638298666763411
S4_800K,6.72,0.0,314,0,46.726190476190474,0.0,0.0,0,64,1.1064888535031847
S5_800K,4.7196,0.0804,319,87,67.59047376896348,1082.089552238806,0.01675,2,64,3.886862917873968
S6_800K,2.51191,0.04809,378,54,150.48309851865713,1122.894572676232,0.01878515625,5,64,9.646761082897187
S6b_1000K,2.56,0.0,412,0,160.9375,0.0,0.0,0,64,0.8828883495145631
S6b_900K,4.4799999999999995,0.0,409,0,91.29464285714286,0.0,0.0,0,64,1.1912820904645476
S6b_800K,6.72,0.0,336,0,50.0,0.0,0.0,0,64,0.9880952380952381
S6c_1000K,1.55596,0.02404,431,34,276.99940872516004,1414.3094841930117,0.01521518987341772,3,64,1.8647008977696498
S6c_900K,1.88751,0.03249,360,54,190.72746634454916,1662.0498614958449,0.016921875,4,64,5.924827423093721
S6c_800K,3.8302899999999998,0.00971,401,17,104.69181184714473,1750.7723995880535,0.0025286458333333333,1,64,5.760380750406182
teacher_800K_cluster,3.5,0.0,136,0,38.857142857142854,0.0,0.0,0,10,0.3705882352941177
teacher_700K_cluster,7.699999999999999,0.0,139,0,18.051948051948052,0.0,0.0,0,22,0.8544800523217788
