round,n_labels_after,force_rmse_meVA,student_transitions_in_2ns,reactive_frames,unusable_labels
0.000000000000000000e+00,1.748000000000000000e+03,1.462048967393642158e+02,7.400000000000000000e+01,1.670000000000000000e+02,2.000000000000000000e+00
1.000000000000000000e+00,1.998000000000000000e+03,1.651600008538893576e+02,8.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,2.248000000000000000e+03,1.572665253282946480e+02,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
