block_kT,rate_ratio,mass_unc_md,mass_lev_md,mass_lev_free,first_unc_md,first_lev_md,first_levE_md,first_unc_free,first_lev_free
3.000000000000000000e+00,3.404887229970727791e-01,6.921141496473715883e-03,9.029565421509370138e-01,7.969443981039998626e-01,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.494209858751365805e-01,1.180408253807425055e-02,7.220941846630200001e-01,9.156065704390311533e-01,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.299690405865996101e-01,1.377173712518710812e-02,2.935352137684513751e-01,9.480437680329965033e-01,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.284633356734841136e-01,1.415989696285811783e-02,6.177615422147202801e-02,9.636155681843865395e-01,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.288819609019400125e-01,1.371004566560727472e-02,1.286217958217379491e-02,8.983897421750377532e-01,7.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.295143811647337939e-01,1.284082558737041635e-02,3.399116617461017849e-03,7.547617146650108522e-01,7.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
