force_rmse_meVA,energy_rmse_kT,dV_sd_on_paths_kT,bracket_lower,bracket_upper,first_order,per_path,basinB_minus_basinA_offset_kT,series_law,sd_lower,sd_upper,sd_series
1.486116249375079406e+02,0.000000000000000000e+00,1.652385713497410258e+00,-2.075533165251034262e+00,1.909101306084320493e+00,1.959340290420816366e+00,3.938933612920108018e-01,1.627197700521371693e-01,1.841394136240342094e+00,9.291217235194337842e-01,1.820668303539081379e-01,1.140734755560665753e-01
1.680211640290027333e+02,0.000000000000000000e+00,1.549516827968151045e+00,-1.184231590307734727e+00,1.177615497494097330e+00,2.125922968951138525e+00,1.937798427720505146e-01,1.251597731510170286e+00,1.330539978912084198e+00,2.330079894377928562e-01,3.147457754323259582e-01,8.816526144000504106e-02
1.610879674169628686e+02,0.000000000000000000e+00,1.489287819687500791e+00,-9.314741981414729199e-01,1.174650420137323570e+00,1.680958303283320854e+00,1.594963359198349750e-01,9.753880438969035893e-01,1.424343894704045432e+00,2.422919720035503210e-01,5.226602320490141285e-01,1.041108213512243474e-01
1.610455180092065177e+02,0.000000000000000000e+00,1.396858495770896269e+00,-1.414876550795235444e+00,4.831745953769105428e-01,9.452220470645577022e-01,-4.378204481005822934e-01,4.604582056634588527e-01,6.745135556207125793e-01,1.477596500644777211e-01,4.014271170277154410e-01,1.089797185380815825e-01
