force_rmse_meVA,n_frames,n_paths,dV_mean_kT,dV_sd_kT,lower,upper,series_law,per_path,measured,lnG_hat
5.647267178267837551e+01,7.900000000000000000e+01,8.000000000000000000e+00,-3.006989093169154970e+01,8.440807500614744185e+01,2.492232596424658109e+00,4.794530167185211411e+01,1.549449614275254961e+00,1.968890359937448764e+00,1.326999999999999957e+00,1.087881790925728093e-01
8.721396430853812376e+01,4.840000000000000000e+02,3.600000000000000000e+01,-7.269768743423747992e+02,9.342207289621363088e+03,1.702886552670858311e+00,4.704427511435205389e+01,1.787082153109771365e+00,3.021539560919215273e+00,2.041999999999999815e+00,2.776324153008907780e-01
8.687391842957329402e+01,1.322000000000000000e+03,9.200000000000000000e+01,-6.344682084637628350e+02,1.171620062504337147e+04,2.870524798143184952e+00,4.682445504266239311e+01,3.463133763386732067e+00,3.754501460270826652e+00,2.963000000000000078e+00,4.501686766360833425e-01
