round,n_labels,force_rmse_meVA,bracket_width_oracle,frac_selected_in_barrier_window
0.000000000000000000e+00,1.500000000000000000e+03,1.459614664943169373e+02,1.860239387111731979e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.750000000000000000e+03,1.446321977162312749e+02,2.344859769748806611e-01,9.599999999999999645e-01
2.000000000000000000e+00,2.000000000000000000e+03,1.332479532740259742e+02,1.718320130853189520e-01,9.379999999999999449e-01
3.000000000000000000e+00,2.250000000000000000e+03,1.284329128067890622e+02,2.390629352147357056e-01,8.319999999999999618e-01
