round,n_labels,force_rmse_meVA,bracket_width_oracle,frac_selected_in_barrier_window
0.000000000000000000e+00,1.500000000000000000e+03,1.486116249375079406e+02,2.244721028292286036e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.750000000000000000e+03,1.403911227499167182e+02,1.686550624994440861e+00,4.000000000000000083e-02
2.000000000000000000e+00,2.000000000000000000e+03,1.329419003186142731e+02,1.540019966754349046e+00,5.600000000000000117e-02
3.000000000000000000e+00,2.250000000000000000e+03,1.298707705524416554e+02,1.675325247031626663e+00,5.866666666666666557e-02
