B,sd_mu,sd_uniform,sd_nu,sd_opt,sd_mix,heuristic_gap
2.000000000000000000e+00,1.680574430954595924e-02,7.080749221362946100e-03,2.227840403548888015e-01,6.113473467556493866e-03,8.645061531337882438e-03,2.734540754046407063e+00
4.000000000000000000e+00,1.936607179763342179e-01,1.011915625494116781e-02,3.413235820081017557e-01,8.436186372696536859e-03,8.605245560949872571e-03,1.330296226728805209e+01
6.000000000000000000e+00,5.283771742118560377e-01,1.119764603555439136e-02,4.414482053998489697e-01,8.721149925731652014e-03,7.991683081973269612e-03,8.599823213567054836e+01
8.000000000000000000e+00,6.229491771789062993e-01,1.443810293298450863e-02,5.146378039745187483e-01,8.616628406604244506e-03,9.885444361559641777e-03,6.107017820907483383e+02
1.000000000000000000e+01,6.776905359077440849e-01,1.271912051932447274e-02,5.366224313549864400e-01,9.399800640767853530e-03,8.360831829427784259e-03,4.464017534673783302e+03
-1.000000000000000000e+00,9.999000000000000000e+03,5.464608312647937227e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
