x,y
-1.199999999999998845e-01,-9.599999999999999645e-01
1.500000000000001332e-01,-9.299999999999999378e-01
-5.999999999999983125e-02,4.800000000000002043e-01
9.000000000000007994e-02,4.200000000000001510e-01
-2.700000000000000178e-01,-8.699999999999999956e-01
9.000000000000007994e-02,-3.899999999999999023e-01
-8.999999999999985789e-02,-3.599999999999998757e-01
-1.799999999999999378e-01,1.080000000000000293e+00
6.000000000000005329e-02,1.080000000000000293e+00
3.300000000000002931e-01,-9.299999999999999378e-01
2.100000000000001865e-01,-2.700000000000000178e-01
2.399999999999999911e-01,-1.469999999999999973e+00
-2.999999999999980460e-02,-1.439999999999999947e+00
2.399999999999999911e-01,9.899999999999999911e-01
