force_rmse_meVA,energy_rmse_kT,dV_sd_on_paths_kT,bracket_lower,bracket_upper,first_order,per_path,basinB_minus_basinA_offset_kT,series_law,sd_lower,sd_upper,sd_series
8.721396430853812376e+01,6.951926503922709610e-01,9.867051724777599064e-01,-9.199072951090436767e-02,7.624162771787179604e-01,6.484369284998078298e-01,2.170140047759377966e-01,1.270631297870000384e-02,9.524082174098411624e-01,9.919437742973180594e-02,4.324985650285559369e-01,1.027536821644486897e-01
8.687391842957329402e+01,6.871276646851495196e-01,1.079664009782337564e+00,5.264377301521810937e-02,1.360084547336201100e+00,1.116720548828542992e+00,7.774544160086322986e-01,1.648832320675530996e-02,1.304963499029507812e+00,2.065515648075290922e-01,1.294043340744247261e-01,8.050708199885377170e-02
5.647267178267837551e+01,4.499954669157902321e-01,8.069007826136691541e-01,-1.199126068811491586e-01,6.157490223512300798e-01,3.591102346125242817e-01,2.613415021117121428e-01,-1.342752047536892486e-02,5.953547022360763386e-01,8.378993879155859081e-02,5.993302842107952472e-02,4.169062629867704289e-02
1.004314753383491023e+02,8.510260024645515120e-01,1.319885905015653060e+00,2.286844123139053497e-01,2.100363430620695304e+00,1.837507751662444733e+00,1.708323498266365315e+00,6.406106397990844747e-02,2.048298193895783825e+00,2.784076890531053672e-01,1.268574420076443443e-01,7.323327103751293976e-02
9.926742182752997223e+01,7.869400160238291253e-01,1.265586159554528134e+00,-1.115347241798818168e+00,1.115596228259876810e+00,7.978231606152681454e-01,8.658604197048026530e-01,9.810926128864443183e-04,1.042745169516811732e+00,4.799689602561429402e-01,1.763895991506254923e-01,8.712501677884269824e-02
1.726420188059772158e+02,1.540297032926800203e+00,1.934269427062175861e+00,-4.554175348796061229e-01,3.119701262489937843e+00,3.082587032679720007e+00,4.575856415092989238e-01,4.167010382388887380e-02,2.821927857132753292e+00,1.426991717099715951e-01,2.870549117286610996e-01,1.367281132595580262e-01
1.363435926417710107e+02,1.080352950701644721e+00,1.547712171630643896e+00,-1.507948723729412688e+00,2.268352539735177587e+00,1.860996599902108528e+00,1.074917078213039723e+00,9.916243133824802214e-02,2.113293265910770380e+00,8.170649313954619908e-01,1.754499909224122023e-01,1.220140729403104141e-01
1.717459604067764189e+02,1.382015765685458142e+00,1.748947729820000685e+00,-1.970738592796604571e+00,2.098603612822844688e+00,2.101152892578668219e+00,1.572849352494534170e-01,1.257674342800250422e-01,1.962866720652299390e+00,7.840919465780026298e-01,1.301528240293281513e-01,1.022880106780330450e-01
