exact_ln_ratio,signed_pred_true_phi,squared_Ldyn_over_lambda,force_rmse,signed_pred_model_phi,max_abs_dV
2.077312944059030598e-03,2.104040774934267093e-03,7.041339259756020930e-01,1.999999999999999695e-02,2.050574243214092849e-03,1.213547055480493873e-02
1.941525775590482398e-03,1.942691602603919101e-03,4.558364453588986676e-01,2.000000000000000042e-02,1.940354275661781416e-03,5.763024913858430173e-03
-5.138297366835460449e-03,-5.134736019915201420e-03,3.031552654491522780e-01,2.000000000000000042e-02,-5.141851641656943091e-03,1.354915847798997090e-02
3.038377937370550304e-04,3.050442253301980516e-04,5.683500257311960985e-02,1.999999999999999695e-02,3.026302727672534670e-04,2.829632422893195616e-03
4.152269909750080923e-03,4.138709092949564676e-03,2.131759237936002305e-01,2.000000000000000389e-02,4.165810526661547532e-03,1.755806950233568947e-02
-1.011545585500771630e-02,-1.016639763152781678e-02,6.623981666752148945e-02,2.000000000000000042e-02,-1.006447378795657065e-02,2.355773257072383067e-02
-4.615252579112283544e-04,-4.554590079251514927e-04,7.525371447063826658e-01,2.000000000000000042e-02,-4.676056032233513217e-04,6.085762732648231782e-03
-1.849129136266777426e-02,-1.850780097881274400e-02,8.612493441377103709e-01,2.000000000000000042e-02,-1.847467715155468385e-02,2.711449402660868341e-02
2.093927553824484478e-02,2.094705415655520597e-02,4.072787790725334034e-01,1.999999999999999695e-02,2.093148463046938176e-02,2.767239668966162483e-02
-1.243855831431071174e-02,-1.252476838578937650e-02,1.272010186540389054e-01,2.000000000000000042e-02,-1.235230238084043981e-02,2.994850963091760104e-02
-7.290380619783046450e-04,-6.818417076972802058e-04,2.221714887944062689e+00,2.000000000000000042e-02,-7.762481864617023055e-04,1.520100191118563086e-02
2.367632968772088477e-04,2.381062885562972649e-04,5.353392917508830416e-03,2.000000000000000389e-02,2.354209446671300760e-04,3.373211184499532930e-03
-1.649542601872332204e-02,-1.614856023193121312e-02,3.146137485598476058e+00,2.000000000000000042e-02,-1.684719407583704087e-02,9.090017028727445658e-02
3.314718839073086320e-04,3.319901286320071703e-04,1.280930511202715318e-02,2.000000000000000042e-02,3.309666032164441094e-04,2.609179730044363602e-03
-9.220682499265232465e-03,-9.141379714976189189e-03,1.128035567983767251e+00,2.000000000000000042e-02,-9.300219110871203038e-03,3.858061800974454253e-02
2.097404839913731642e-03,2.096311697807591232e-03,1.176601354609571742e-01,2.000000000000000042e-02,2.098485043299329160e-03,7.547316464260538961e-03
-2.286543753127426998e-03,-2.293876951609413045e-03,4.756041574663976562e-02,2.000000000000000042e-02,-2.279195495325189637e-03,8.456815827202715519e-03
1.206290122730100528e-02,1.207740878165123634e-02,9.487421658751969966e-01,2.000000000000000042e-02,1.204823997446273845e-02,2.798372409581290771e-02
1.022219321952659755e-04,1.045586794135078051e-04,5.614334784597170280e-01,2.000000000000000042e-02,9.987727417324554155e-05,1.030106983589753125e-02
-4.862509116242175492e-04,-4.837214820709879993e-04,6.142943223198806812e-01,1.999999999999999695e-02,-4.887916542253654267e-04,6.363654622768497200e-03
-3.155841420456924210e-04,-3.147939713735480104e-04,5.805032338609092055e-03,2.000000000000000042e-02,-3.163784969674831964e-04,3.573179507143029073e-03
-6.292567965085213780e-04,-6.283814531120587377e-04,6.783288680748657262e-02,2.000000000000000042e-02,-6.301262752073982700e-04,2.998345596934478326e-03
-3.289656700761379223e-03,-3.288627364240902327e-03,1.566053905699679172e-01,2.000000000000000042e-02,-3.290681763500418432e-03,9.502475772041111407e-03
-3.879783843163146979e-04,-3.871796628532300148e-04,1.822426940642728199e-02,2.000000000000000042e-02,-3.887837598133877929e-04,3.951342890466460166e-03
8.554419237737356449e-03,8.547164786322104107e-03,1.536265175870417110e-01,1.999999999999999695e-02,8.561659798449423875e-03,2.259330882240513302e-02
2.061072018252220050e-05,2.138444531267983523e-05,2.848988470380230953e-01,2.000000000000000042e-02,1.983999936903561639e-05,2.382663641919318624e-03
8.111458867073266911e-04,8.114382312775985729e-04,2.567572541741292569e-01,2.000000000000000042e-02,8.108485598538224537e-04,7.596886244881918306e-03
9.598983276634368358e-03,9.547655265774472252e-03,2.530712789213459546e-01,2.000000000000000042e-02,9.650264106812555739e-03,2.563203448314048394e-02
-2.566336895057756695e-02,-2.545898040578384314e-02,1.958860953914567826e+00,2.000000000000000042e-02,-2.586795803817158734e-02,6.674411955824652298e-02
8.935763427875292146e-06,9.602606059413413311e-06,1.783045805906561254e-01,2.000000000000000042e-02,8.280991862869869290e-06,3.807817972576350851e-03
-3.705810237644861690e-05,-3.649808912496926779e-05,1.083049350514627140e-01,2.000000000000000042e-02,-3.761625263900503983e-05,3.461830394025969346e-03
-1.045410312847786151e-04,-1.041571307467016859e-04,2.952605576015396652e-02,2.000000000000000042e-02,-1.049092543826440129e-04,1.939602970699902092e-03
1.987112331680980937e-03,1.988244290939891225e-03,5.061853919737719920e-01,1.999999999999999695e-02,1.985952998477039360e-03,1.786159555534818852e-02
4.469422096260868005e-03,4.482668105800176328e-03,4.039298159292094570e-01,2.000000000000000042e-02,4.456166211579196124e-03,1.020910167477603013e-02
-7.977758562553513913e-03,-8.008865180718702584e-03,5.433518358553712790e-02,2.000000000000000042e-02,-7.946637326271970697e-03,1.849003571061478418e-02
-3.829083566543856586e-03,-3.843855890707677508e-03,2.398275867427961394e-01,2.000000000000000042e-02,-3.814297125321351734e-03,1.836139694793126678e-02
-1.042717225812721899e-03,-1.041400088712270654e-03,1.285030139565959406e-01,2.000000000000000042e-02,-1.044042254020009254e-03,6.070518242608971549e-03
1.853188097349428229e-02,1.817125616304273231e-02,5.525739645251187548e-01,2.000000000000000042e-02,1.889227143646677112e-02,5.764085784227490628e-02
3.174441868383073634e-04,3.225085239937438989e-04,4.862845491761267902e-01,1.999999999999999695e-02,3.123897226853397332e-04,8.763821485710634671e-03
4.717415884463004548e-03,4.723319719902635029e-03,3.460828266290754684e-01,2.000000000000000389e-02,4.711502974238329124e-03,1.090492259656085892e-02
-3.273861889678819095e-04,-3.265645894749956164e-04,3.102995605900889242e-02,2.000000000000000042e-02,-3.281982474424576142e-04,2.979568852604483255e-03
1.619989657460068483e-02,1.621179340679048883e-02,5.262128883111188982e-01,2.000000000000000042e-02,1.618800090203532244e-02,3.015394256333979450e-02
6.651724920586197685e-04,6.661683068979754258e-04,2.409649271317470531e-01,2.000000000000000042e-02,6.641807353190369969e-04,3.298149288742790747e-03
-2.664775972010573896e-03,-2.663768578498409718e-03,7.037536704222637773e-01,2.000000000000000389e-02,-2.665761811856924568e-03,1.899065632026976369e-02
-4.892270090010410362e-03,-4.862680844761021852e-03,6.711398009219897709e-01,1.999999999999999695e-02,-4.921948308613013391e-03,2.879533829602645006e-02
4.647464992542145066e-04,4.650569126693274158e-04,3.816097177543701507e-02,2.000000000000000042e-02,4.644600023782934528e-04,3.520540312398568340e-03
2.050200891328745126e-02,2.053946011835072055e-02,9.855851067844120239e-01,2.000000000000000042e-02,2.046445930095742993e-02,2.992838514522032020e-02
-1.131262210604088748e-02,-1.138496508682435709e-02,1.178988054330482316e-01,1.999999999999999695e-02,-1.124022332968353279e-02,2.870996645291192667e-02
1.528946931203711661e-02,1.529060467786404198e-02,2.812929904762216382e-01,2.000000000000000042e-02,1.528834776499492579e-02,2.185506956743663715e-02
9.934316186268964122e-03,9.853028685994226488e-03,2.954392871081005789e-01,2.000000000000000042e-02,1.001555162521244186e-02,2.954115390897563490e-02
3.515275375253282871e-03,4.521586674198625061e-03,6.208040416341919610e+00,2.000000000000000042e-02,2.501484925587754444e-03,7.715422888563469583e-02
-5.197332213342781629e-03,-5.205855143057950586e-03,6.515585637549738962e-01,2.000000000000000042e-02,-5.188779552865552952e-03,1.531915389038556244e-02
2.099739306517629800e-02,2.127367277480642083e-02,3.274808128639719929e+00,2.000000000000000042e-02,2.072345824104240494e-02,7.895558189758183909e-02
3.583609722123925947e-03,3.597707840647102612e-03,4.063660808113193079e-01,2.000000000000000042e-02,3.569505245451760640e-03,1.691851441341150897e-02
-7.287306813104558849e-04,-7.221002005397261433e-04,4.383062058650314952e-01,1.999999999999999695e-02,-7.353550199965936101e-04,9.566361241255703571e-03
-2.995381654805541038e-03,-2.997577414429381405e-03,1.022367051800404103e-01,2.000000000000000042e-02,-2.993184282537332801e-03,1.271714184079340317e-02
-1.908357810651661315e-03,-1.910128542645664384e-03,3.290852845354379219e-02,2.000000000000000042e-02,-1.906586400849415554e-03,9.215464050728840867e-03
-6.533706919655938878e-04,-6.472662120877324329e-04,2.593700365740129188e-01,2.000000000000000042e-02,-6.594744383778515517e-04,1.025431937920079535e-02
7.633197421991688107e-05,7.826030413253851591e-05,4.730861755784142586e-01,2.000000000000000042e-02,7.440278539982617253e-05,2.048145446289137417e-02
1.949187092788663006e-02,1.947573182110761900e-02,4.890268672344962320e-01,2.000000000000000042e-02,1.950793726429880456e-02,1.745879461752767800e-02
-3.399229301516712345e-03,-3.394360295303214085e-03,5.460309490307700964e-01,2.000000000000000042e-02,-3.404098300190988753e-03,7.380083265428223627e-03
-1.468050670644386853e-03,-1.463701363614470109e-03,1.319568602657921752e-01,2.000000000000000042e-02,-1.472400612347293108e-03,8.118974157244510104e-03
2.329815063429686514e-02,2.330722810763764113e-02,3.955188434112374418e-01,2.000000000000000042e-02,2.328904514028533670e-02,3.180432403821197018e-02
-3.801785797612467627e-03,-3.805795634138630767e-03,7.373436744778958697e-03,1.999999999999999695e-02,-3.797742744516900172e-03,1.375722390493597236e-02
2.959834934395057585e-03,2.962753838940602145e-03,2.372115836083927287e-01,1.999999999999999695e-02,2.956922983786035557e-03,9.397670376747161575e-03
8.409622639648867354e-04,8.417054117957646891e-04,6.842195498315585545e-02,2.000000000000000042e-02,8.402282235666879958e-04,3.811125637461185676e-03
-1.248004414918636598e-03,-1.236423391710935772e-03,1.034539748790490155e+00,2.000000000000000389e-02,-1.259577704155716597e-03,9.087854325627501770e-03
-7.984861033377243893e-04,-7.973649557687198693e-04,1.369446291643688571e-02,2.000000000000000389e-02,-7.995896151977166261e-04,3.381239114165225743e-03
-1.675638842203635288e-05,-1.616028211979748166e-05,1.435464961519589133e-01,2.000000000000000042e-02,-1.733425841313805622e-05,4.213729877332547148e-03
2.081722378665959525e-03,2.082862390282877191e-03,2.591833408021441687e-01,2.000000000000000042e-02,2.080576282136837110e-03,4.999267273229135444e-03
4.337391881594035957e-03,4.348356250792368913e-03,5.044912009625803773e-01,2.000000000000000042e-02,4.326453868756827831e-03,1.381772219987873612e-02
-2.535478714874657056e-04,-2.522777353646401361e-04,1.686802252689880710e-01,2.000000000000000042e-02,-2.548019625547384725e-04,4.008243162135207045e-03
-2.532330968874244541e-05,-1.862379974111417422e-05,2.881589366078547432e-01,1.999999999999999695e-02,-3.201401646184123747e-05,1.898016202956366583e-02
2.517602100641899016e-02,2.515518235479351911e-02,3.779312768396772548e-01,2.000000000000000042e-02,2.519683324032830074e-02,2.522841792067074748e-02
-2.772999205295609629e-02,-2.766037501861749390e-02,1.032687676170583879e+00,2.000000000000000042e-02,-2.779944052588043460e-02,4.382786650274285434e-02
2.487461891809632040e-06,3.014845740432164500e-06,8.108021568212819830e-02,2.000000000000000389e-02,1.969201633619504676e-06,2.070281190605961774e-03
-1.744540792146022758e-03,-1.743924800179659507e-03,2.202078833516563361e-01,2.000000000000000042e-02,-1.745157901446158823e-03,8.319588201739520211e-03
1.134502479674567551e-03,1.102447667656585939e-03,4.084145372455054712e-01,2.000000000000000389e-02,1.166597062898419449e-03,2.584950666441538161e-02
7.218171225809512804e-04,7.226537792945243862e-04,3.669376348468401244e-02,2.000000000000000042e-02,7.209816963176128232e-04,4.632325586662108287e-03
-8.482783863369213286e-05,-8.271771680580472269e-05,7.468130555607552234e-02,1.999999999999999695e-02,-8.694446899158689876e-05,4.754424929081615611e-03
-5.320247007805466860e-02,-5.129164294523323731e-02,9.113658410265950138e+00,2.000000000000000042e-02,-5.514569001865578246e-02,1.753749920186694622e-01
-8.115811802389124934e-06,-7.576596466846989015e-06,6.360839376592115901e-02,1.999999999999999695e-02,-8.665134684108066456e-06,2.501524411882422895e-03
