grid_lower,grid_upper,path_lower,path_upper,per_path_parallel,per_path_sd,measured
-1.593793398986912191e+00,-7.531307768110316880e-01,-1.310883176595488475e+00,-5.433314313323074352e-01,-5.816431383458555704e-01,4.362861507450729870e-02,-6.310000000000000053e-01
7.445065478396932779e-01,1.585169170015573670e+00,5.347072023609690250e-01,1.302258947624149954e+00,1.106071413836097195e+00,6.452948287362716973e-02,1.159999999999999920e+00
3.294322838530976561e-03,3.295967164114870472e-03,2.694712478896938747e-03,2.719414833297042339e-03,2.699302441475208165e-03,1.481845767672573973e-04,nan
2.646736588221730302e-01,2.648381639606348092e-01,2.577776529669545957e-01,2.590173136454069214e-01,2.581770558136521343e-01,1.347063207425387753e-03,nan
3.268038892236873813e-03,3.268038892237095858e-03,3.268038891410645838e-03,3.268038891410534816e-03,3.268038891410645838e-03,6.125143363582847289e-13,nan
