x,y
-1.020000000000000018e+00,0.000000000000000000e+00
1.020000000000000240e+00,-5.999999999999983125e-02
1.170000000000000151e+00,3.000000000000002665e-02
-1.199999999999999956e+00,0.000000000000000000e+00
1.230000000000000204e+00,-1.799999999999999378e-01
-1.199999999999999956e+00,-2.099999999999999645e-01
-1.199999999999999956e+00,2.399999999999999911e-01
1.170000000000000151e+00,2.399999999999999911e-01
5.700000000000000622e-01,-8.099999999999999423e-01
-5.699999999999998401e-01,-7.800000000000000266e-01
-3.599999999999998757e-01,-9.000000000000000222e-01
3.600000000000000977e-01,-9.299999999999999378e-01
-1.799999999999999378e-01,-1.020000000000000018e+00
-8.699999999999999956e-01,4.800000000000002043e-01
