x,y
-2.999999999999998224e-01,-9.599999999999999645e-01
1.800000000000001599e-01,-9.599999999999999645e-01
1.020000000000000240e+00,0.000000000000000000e+00
0.000000000000000000e+00,-9.599999999999999645e-01
-1.080000000000000071e+00,0.000000000000000000e+00
1.200000000000001066e-01,9.600000000000001865e-01
3.600000000000000977e-01,-9.000000000000000222e-01
1.080000000000000293e+00,6.000000000000005329e-02
-1.080000000000000071e+00,0.000000000000000000e+00
-3.599999999999998757e-01,-9.000000000000000222e-01
-1.199999999999998845e-01,9.600000000000001865e-01
1.080000000000000293e+00,-1.199999999999998845e-01
6.000000000000005329e-02,-1.020000000000000018e+00
-1.140000000000000124e+00,-1.199999999999998845e-01
