block_kT,exact,ref_lower,ref_upper,model_lower,model_upper
1.000000000000000000e+00,-2.412355934063322056e-03,-2.018650702076174586e-02,7.907706187576979406e-02,-7.135723357255863153e-02,6.663647560801289060e-03
3.000000000000000000e+00,-1.077373272892337530e+00,-1.314053424561624217e+00,-5.800387818617633862e-01,-1.372198677816015566e+00,-7.420196581456954821e-01
6.000000000000000000e+00,-1.900987548443016317e+00,-3.752926811249878369e+00,-1.044002833991220847e+00,-2.464768501463030503e+00,-3.407572608214418652e-01
9.000000000000000000e+00,-2.040459006222456129e+00,-6.409796464484304401e+00,-1.247348443300521748e+00,-2.773785561875115491e+00,-1.950478087834728314e-01
1.200000000000000000e+01,-2.052111740858098443e+00,-9.155803083952248400e+00,-1.359650902083649360e+00,-2.905305375030201809e+00,-1.698500569434210350e-01
1.800000000000000000e+01,-2.043963352543172629e+00,-1.478245176710911757e+01,-1.482885906554602728e+00,-3.064116678190302423e+00,-1.547298773999561394e-01
