x,y
-1.199999999999999956e+00,0.000000000000000000e+00
1.620000000000000329e+00,1.800000000000001599e-01
-3.299999999999998490e-01,0.000000000000000000e+00
2.700000000000002398e-01,-1.140000000000000124e+00
3.000000000000002665e-02,-1.020000000000000018e+00
-1.439999999999999947e+00,0.000000000000000000e+00
1.470000000000000417e+00,0.000000000000000000e+00
3.300000000000002931e-01,-5.999999999999983125e-02
-1.499999999999999112e-01,-9.299999999999999378e-01
-1.620000000000000107e+00,0.000000000000000000e+00
1.320000000000000062e+00,-1.199999999999998845e-01
3.000000000000000444e-01,1.500000000000001332e-01
-2.099999999999999645e-01,-1.229999999999999982e+00
-2.700000000000000178e-01,-1.499999999999999112e-01
