grid_value,path_estimate,standard_error
7.101045204721757820e+00,7.122922070785828730e+00,5.056587491915646299e-02
2.896199150615789142e-01,2.876977577375203765e-01,1.713541079624878805e-03
8.238326487095545758e+01,8.255814952939003604e+01,9.939533629855465957e-01
1.755566404525544522e-01,1.722913784616119381e-01,2.672469813321497623e-03
