amp_kT,nAB,nBA,measured_ln_ratio,sd,bracket_lower,bracket_upper,first_order,sqra_msm
3.000000000000000444e+00,7.200000000000000000e+01,7.200000000000000000e+01,-5.786957982770544184e-01,9.549009104573470685e-02,-1.593793398986912191e+00,-7.531307768110316880e-01,-1.150642588881524153e+00,-7.858009040914711862e-01
-3.000000000000000444e+00,6.480000000000000000e+02,6.480000000000000000e+02,1.410669347814853758e+00,5.427262644971096034e-02,7.445065478396932779e-01,1.585169170015573670e+00,1.150642588881524153e+00,1.320209616760014804e+00
2.912415399957472006e-01,1.880000000000000000e+02,1.880000000000000000e+02,7.672992254357156872e-02,6.952328754858595750e-02,3.294322838530976561e-03,3.295967164114870472e-03,3.456107865503752364e-03,2.713926044450674663e-03
6.794145551315404763e-01,1.590000000000000000e+02,1.590000000000000000e+02,3.185934308410494076e-01,7.292850698820438349e-02,2.646736588221730302e-01,2.648381639606348092e-01,2.844384007612671406e-01,2.583088994448369813e-01
3.158470524042765737e-01,1.620000000000000000e+02,1.620000000000000000e+02,7.951959606724624818e-02,7.252815175202440012e-02,3.268038892236873813e-03,3.268038892237095858e-03,3.464633839852203790e-03,3.200932196689453436e-03
