round,n_labels,force_rmse_meVA,bracket_width_oracle,frac_selected_in_barrier_window
0.000000000000000000e+00,1.500000000000000000e+03,1.462048967393642158e+02,2.941327927986887136e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.750000000000000000e+03,1.403519289475975143e+02,1.367839156292814273e+00,1.160000000000000059e-01
2.000000000000000000e+00,2.000000000000000000e+03,1.333292495792981072e+02,1.306259588003141570e+00,1.459999999999999909e-01
3.000000000000000000e+00,2.250000000000000000e+03,1.317332909652751027e+02,1.183746792798968439e+00,1.360000000000000098e-01
