rmse,total,sd_total,teacherlike,sd_teacherlike,shortcut,frac_teacherlike,pred,pred_sd,lower,upper,tl_cut100,tl_cut140,ns,transitions,diverged
5.647267178267837551e+01,1.326663528967645611e+00,4.010754273713565410e-02,4.998258248155122430e-01,5.092201013069978799e-02,7.705021239931565402e-01,4.232130219391365689e-01,5.953547022360763386e-01,4.169062629867704289e-02,-1.199126068811491586e-01,6.157490223512300798e-01,5.524206871865396939e-01,3.074107029382001643e-01,3.000000000000000000e+02,1.413000000000000000e+03,0.000000000000000000e+00
8.687391842957329402e+01,2.957235960791367635e+00,3.201371720213497252e-02,1.142521926860436299e+00,4.082987839550743236e-02,2.784251394411908276e+00,1.661294321844780653e-01,1.304963499029507812e+00,8.050708199885377170e-02,5.264377301521810937e-02,1.360084547336201100e+00,1.420377906122469058e+00,9.027812204536911356e-01,3.000000000000000000e+02,8.066000000000000000e+03,0.000000000000000000e+00
8.721396430853812376e+01,2.036534658772427342e+00,3.483110262961778419e-02,8.183581930389017822e-01,4.492777708622756189e-02,1.696236252579243153e+00,2.845096814490943316e-01,9.524082174098411624e-01,1.027536821644486897e-01,-9.199072951090436767e-02,7.624162771787179604e-01,9.782727716707119159e-01,5.914178886914865929e-01,3.000000000000000000e+02,3.202000000000000000e+03,0.000000000000000000e+00
9.926742182752997223e+01,2.340419557907216674e+00,3.333873943856884015e-02,9.172467888599377117e-01,4.246672634161334503e-02,2.072567034898351146e+00,2.385765424299852722e-01,1.042745169516811732e+00,8.712501677884269824e-02,-1.115347241798818168e+00,1.115596228259876810e+00,1.033335099624273834e+00,7.573309996395077848e-01,3.000000000000000000e+02,4.749000000000000000e+03,0.000000000000000000e+00
1.004314753383491023e+02,3.517330831812936598e+00,3.087797772463091867e-02,2.629904573362613629e+00,3.243443020062590498e-02,3.003977359054829765e+00,4.005780346820809190e-01,2.048298193895783825e+00,7.323327103751293976e-02,2.286844123139053497e-01,2.100363430620695304e+00,2.656727948804070483e+00,2.532896996209562435e+00,3.000000000000000000e+02,1.903000000000000000e+04,0.000000000000000000e+00
1.363435926417710107e+02,3.471170169442403530e+00,3.093089146578170689e-02,2.401724666330823599e+00,3.292085864122085148e-02,3.063657723033377245e+00,3.425062796539212751e-01,2.113293265910770380e+00,1.220140729403104141e-01,-1.507948723729412688e+00,2.268352539735177587e+00,2.490651388520621623e+00,2.241698365269527038e+00,3.000000000000000000e+02,1.791500000000000000e+04,0.000000000000000000e+00
1.717459604067764189e+02,4.497505735107720781e+00,3.030795056586264857e-02,2.518971792959470157e+00,3.235432740082569425e-02,4.352657466095227079e+00,1.402544619190669861e-01,1.962866720652299390e+00,1.022880106780330450e-01,-1.970738592796604571e+00,2.098603612822844688e+00,2.937440796447833957e+00,2.097433529065367175e+00,3.000000000000000000e+02,5.659000000000000000e+04,0.000000000000000000e+00
