s,tau,lag,naive_up,naive_lo,paired_up,paired_lo,sd_naive_up,sd_naive_lo,sd_paired_up,sd_paired_lo,truth,upper_loc,theory_naive_lo,theory_paired_up,theory_paired_lo
5.000000000000000000e-01,1.000000000000000000e+00,1.000000000000000056e-01,-1.110324476303728103e+00,-1.474686165409581751e+00,-1.060500475873211723e+00,-1.270226330328120046e+00,3.269424366816166272e-02,3.763848725000582679e-02,2.020446405486418101e-02,1.881534243841007439e-02,-1.257983120962506529e+00,-1.154587631152580229e+00,-1.507983120962506529e+00,-1.055947767641633783e+00,-1.266442357330036073e+00
5.000000000000000000e-01,1.000000000000000056e-01,1.000000000000000056e-01,-1.099967305059903921e+00,-1.472227841042266228e+00,-8.843729139621512303e-01,-1.418616316715443748e+00,2.849651743013400726e-02,3.382112261366340689e-02,4.205372823372329621e-02,4.872624093320946509e-02,-1.257983120962506529e+00,-1.154587631152580229e+00,-1.507983120962506529e+00,-8.918901211288063902e-01,-1.431590037858428088e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,-1.117638756371458708e+00,-2.201010528866354399e+00,-9.408612012116416290e-01,-1.410569499931262794e+00,9.047372547792983943e-02,8.750453195679736007e-02,4.826102106559227584e-02,4.482783835361819902e-02,-1.257983120962506529e+00,-1.154587631152580229e+00,-2.257983120962506529e+00,-9.255603410043921064e-01,-1.397024905511009329e+00
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,-1.105402965532095383e+00,-2.227366515101780298e+00,-2.945713427336567602e-01,-2.071996190432869422e+00,9.767979891323769204e-02,8.913044652778355503e-02,1.276456126730618479e-01,1.233212766413986222e-01,-1.257983120962506529e+00,-1.154587631152580229e+00,-2.257983120962506529e+00,-2.679169745901721078e-01,-2.058623438823706575e+00
1.500000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,-1.115407362085256704e+00,-3.446417769027214639e+00,-7.071377630504507295e-01,-1.613928902587607350e+00,3.285346938648987525e-01,2.062025457234479831e-01,7.155346992190808608e-02,8.979205618281968504e-02,-1.257983120962506529e+00,-1.154587631152580229e+00,-3.507983120962506529e+00,-7.049905850324358347e-01,-1.617370100307391700e+00
1.500000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,-1.128736410644872068e+00,-3.493899405471633024e+00,7.210686417387948133e-01,-3.089950248109605724e+00,1.447637761113667043e-01,1.922242608002045217e-01,2.472338442485342846e-01,2.670265445172260721e-01,-1.257983120962506529e+00,-1.154587631152580229e+00,-3.507983120962506529e+00,7.798045083239013575e-01,-3.109643018767081823e+00
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,-1.129441299926781328e+00,-5.023290586251007106e+00,-4.158401206670886974e-01,-1.933057534438873404e+00,3.927253476619873007e-01,3.878950001911459222e-01,1.168733857786843494e-01,1.272521760012821357e-01,-1.257983120962506529e+00,-1.154587631152580229e+00,-5.257983120962506973e+00,-3.888097339742857539e-01,-1.932033057452321234e+00
2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,-1.100218396907444163e+00,-5.127347223444018276e+00,2.123512907211468459e+00,-4.369571704139805668e+00,3.402908533745822028e-01,3.897479822928876514e-01,6.224941337643122852e-01,5.624321087983978895e-01,-1.257983120962506529e+00,-1.154587631152580229e+00,-5.257983120962506973e+00,2.262637140340217456e+00,-4.593637560989851210e+00
