block_kT,first_unc_md,err6_unc_md,first_unc_free,err6_unc_free,first_lev_md,err6_lev_md,first_lev_free,err6_lev_free,first_int1_md,err6_int1_md,first_int1_free,err6_int1_free,first_intRQ_md,err6_intRQ_md,first_intRQ_free,err6_intRQ_free
3.000000000000000000e+00,9.000000000000000000e+00,1.668573521950767802e+00,7.000000000000000000e+00,1.368433540195076459e+00,1.000000000000000000e+00,5.819462890270491462e-01,1.000000000000000000e+00,4.698874893376093764e-01,1.000000000000000000e+00,7.094891565464693517e-02,1.000000000000000000e+00,7.094891565464836458e-02,1.000000000000000000e+00,7.272378664218327737e-02,1.000000000000000000e+00,7.557941410262636328e-02
6.000000000000000000e+00,9.000000000000000000e+00,2.497906295240410746e+00,4.000000000000000000e+00,2.536281699951423718e-01,1.000000000000000000e+00,5.501301440950310262e-01,1.000000000000000000e+00,4.324085540377671788e-01,3.000000000000000000e+00,2.939696862027160046e-02,2.000000000000000000e+00,1.924809883875778713e-02,1.000000000000000000e+00,1.348385137135241219e-02,1.000000000000000000e+00,2.253362552650885198e-02
9.000000000000000000e+00,8.000000000000000000e+00,2.642199839600950284e+00,1.000000000000000000e+00,6.024153111132388716e-01,4.000000000000000000e+00,3.472809907008251318e-01,1.000000000000000000e+00,4.692484891178678730e-01,1.000000000000000000e+01,1.861833978120870148e+00,6.000000000000000000e+00,9.697283925384192482e-01,2.000000000000000000e+00,4.545239094886786152e-02,1.000000000000000000e+00,3.025305397064429261e-02
1.200000000000000000e+01,8.000000000000000000e+00,2.649336945469971560e+00,1.000000000000000000e+00,1.364881271229553827e-02,4.000000000000000000e+00,5.611012399218503338e-02,1.000000000000000000e+00,4.420815243818151941e-01,0.000000000000000000e+00,1.867346272853081857e+00,1.400000000000000000e+01,1.867346272853084299e+00,8.000000000000000000e+00,1.785203219458077584e+00,1.000000000000000000e+00,4.573784065709825958e-02
1.500000000000000000e+01,7.000000000000000000e+00,2.644546468491977276e+00,1.000000000000000000e+00,1.131189104669998446e-01,6.000000000000000000e+00,1.164326535364371695e+00,1.000000000000000000e+00,2.802718884175130487e-01,0.000000000000000000e+00,1.865418114424657103e+00,0.000000000000000000e+00,1.865418114424655549e+00,1.300000000000000000e+01,1.783422937875670744e+00,1.000000000000000000e+00,1.327364617903394051e-01
1.800000000000000000e+01,7.000000000000000000e+00,2.646367595415875407e+00,1.000000000000000000e+00,2.190552309067853587e-01,8.000000000000000000e+00,1.426919370285524957e+00,1.000000000000000000e+00,1.545754419096851962e-01,0.000000000000000000e+00,1.863261550573513503e+00,0.000000000000000000e+00,1.863261550573510839e+00,0.000000000000000000e+00,1.780975303831875856e+00,2.000000000000000000e+00,1.084848851841500733e-01
