noise_sd,parallel_lower,exact_r0.001,exact_r0.01,exact_r0.1,exact_r1,exact_r10,exact_r100,exact_r1000,series_upper,frozen_lower,frozen_upper
0.000000000000000000e+00,-1.195340854147375786e+00,-1.194529695191143714e+00,-1.194529695191143714e+00,-1.194529695191143492e+00,-1.194529695191143492e+00,-1.194529695191143270e+00,-1.194529695191143270e+00,-1.194529695191143714e+00,-1.195340854147375786e+00,-1.195340854147375786e+00,-1.050952987624265589e+00
5.000000000000000000e-01,-1.109807877656451280e+00,-1.109192695432531295e+00,-1.108822359813792291e+00,-1.105654344439505499e+00,-1.091054334463325448e+00,-1.071633394529978078e+00,-1.064692256177904195e+00,-1.063675974660480028e+00,-1.064165798216366365e+00,-1.334139833971506706e+00,-9.482380182962264481e-01
1.000000000000000000e+00,-1.347531345397230407e+00,-1.345620159669075555e+00,-1.336926746526865717e+00,-1.275785367681881777e+00,-1.083483977194473091e+00,-8.787310807435995130e-01,-7.943823309079873773e-01,-7.788530219621858652e-01,-7.767995335531763246e-01,-1.807580580377268209e+00,-5.518324621184790280e-01
2.000000000000000000e+00,-1.974745567891240672e+00,-1.969939912157257389e+00,-1.946732828579448293e+00,-1.784940593187768654e+00,-1.246150672628138167e+00,-6.062411633357340790e-01,-3.216110706984951495e-01,-2.592371158731480163e-01,-2.464511731068997902e-01,-2.750031822749476884e+00,1.446295785373894693e+00
