grid_lower,grid_upper,path_lower,path_upper,per_path_parallel,per_path_sd,measured
-1.593793398986912191e+00,-7.531307768110316880e-01,-1.363756239861859898e+00,-4.903501051317338266e-01,-5.595039976356434019e-01,3.058698878397803772e-02,-5.789999999999999591e-01
7.445065478396932779e-01,1.585169170015573670e+00,4.817258761603954165e-01,1.355132010890521377e+00,1.078319475635637126e+00,5.025142445445953537e-02,1.411000000000000032e+00
3.294322838530976561e-03,3.295967164114870472e-03,1.888373704014465696e-03,1.968381232808533686e-03,1.917279668706990637e-03,2.418790496294504172e-04,7.699999999999999900e-02
2.646736588221730302e-01,2.648381639606348092e-01,2.529131574913897618e-01,2.552384254389229445e-01,2.537643407856852162e-01,1.400374031860432064e-03,3.190000000000000058e-01
3.268038892236873813e-03,3.268038892237095858e-03,3.267776064485655545e-03,3.267776188589059747e-03,3.267776096177068493e-03,2.448471354486766431e-07,8.000000000000000167e-02
