B_kT,Dxx_over_D0,cond_numeric
2.000000000000000000e+00,7.508322819435688800e-01,1.755163034318358850e-01
4.000000000000000000e+00,5.061688543561440046e-01,3.001781890735053526e-01
6.000000000000000000e+00,3.267064837600905935e-01,4.319098809355645385e-01
8.000000000000000000e+00,1.972013293581980076e-01,5.996756913972230985e-01
1.000000000000000000e+01,1.124059373378236554e-01,8.265173468991938721e-01
