model,force_rmse,ln_all,defect_time_pct,fused_in_transit_pct,ln_single,pooled_spread,pooled_upper,pooled_series,res_spread,res_lower,res_upper,clean_measured,clean_se
S1,6.1,0.6740854334876116,9.401874999999999,6.926406926406925,0.2777577566091977,15.11404333789432,-0.15431740848822548,-0.1553359496757379,0.14218095077997187,0.04120614887139823,0.06142804199466928,0.21256895969519243,0.08092401372601828
S2,6.5,0.09566651858909288,2.688194444444445,0.7407407407407418,0.1781000837749336,12.851198534270365,-0.14153947832099076,-0.1435869837928943,0.17989115279819629,0.07098421863381887,0.10340433258564682,0.17925630443638235,0.06622005282303726
S3,7.5,0.5150207388579243,14.906770833333333,10.441767068273089,0.22883777292909083,44.2715703557729,-0.07432497398735664,-0.08377957078304472,0.178164546450715,0.1180921805715327,0.14982898388589108,0.12963526302232026,0.07988640772726326
S4,9.3,0.07921491369708766,2.9701388888888887,0.7772020725388629,0.1330731529064242,121213.55307726211,nan,inf,0.23694294185224216,0.023089753003864844,0.07957574873091533,0.1340552163458885,0.0671453592161988
S5,13.7,0.8853945271548186,11.103906250000001,19.672131147540984,0.5743874625379135,18.630586455657415,0.013458867424488652,0.0021066670318548864,0.41684902912008864,0.1256580682037738,0.29972968123800126,0.3623368115263908,0.08366345691613304
S6,19.9,1.5713732182361513,17.2625,25.358851674641148,1.19936385455197,229504.19814213197,0.3953586928027669,0.2934805528148655,0.5830776016082697,0.5021130656597741,0.8444891030477883,0.8982287676855193,0.0911470768433499
S6b,16.1,0.1730159846669856,0.0,0.0,0.2833034365291305,1.8597294791076493,-0.08403635033061525,-0.09582880685425937,0.37472183332250314,-0.004998489607456413,0.135548001235696,0.2945105788580679,0.06576258566122942
S6c,15.1,0.7766124523574112,1.521518987341772,6.279069767441858,0.8263027172899263,15652331.759928213,0.17963672189710514,0.11216954098133072,0.4563306576188806,0.20677635766246283,0.4145034845941753,0.7703126241904956,0.06617342959976377
