round,n_labels,force_rmse_meVA,bracket_width_oracle,frac_selected_in_barrier_window
0.000000000000000000e+00,1.500000000000000000e+03,1.459614664943169373e+02,1.860239387111731979e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.750000000000000000e+03,1.448147612331208336e+02,1.982551421772356770e+00,4.399999999999999745e-02
2.000000000000000000e+00,2.000000000000000000e+03,1.339558865256808815e+02,1.766520259812792037e+00,5.000000000000000278e-02
3.000000000000000000e+00,2.250000000000000000e+03,1.322100770827083522e+02,2.118736155663486720e+00,4.133333333333333304e-02
