frame,E0_eV,F_eV,magnetic_moment
f0108,-563.13595924,-563.15148345,1.0000
f0214,-563.27564874,-563.29431865,1.0000
f0109,-564.71258301,-564.72986374,1.0000
f0110,-563.00306013,-563.02257079,1.0000
f0215,-566.23511983,-566.25249756,1.0000
f0111,-563.25062473,-563.27062743,1.0000
f0112,-560.74272606,-560.76325620,1.0000
f0216,-565.02777469,-565.04938551,1.0000
f0114,-563.06671152,-563.08767932,1.0000
f0217,-565.34623877,-565.35821192,1.0000
f0115,-565.49881739,-565.51993762,1.0000
f0116,-563.87446803,-563.88729876,1.0000
f0218,-565.22723215,-565.24268164,1.0000
f0117,-563.78688841,-563.80659331,1.0000
f0118,-563.76807918,-563.78399398,1.0000
f0219,-563.64855880,-563.66633977,1.0000
f0220,-564.34620734,-564.36418138,1.0000
f0221,-564.22612666,-564.24662197,1.0000
f0123,-564.13423326,-564.15461195,1.0000
f0124,-563.85012409,-563.86455698,1.0000
f0222,-565.98584542,-566.00552173,1.0000
f0125,-564.08821652,-564.10628057,1.0000
f0126,-565.42252172,-565.43782394,1.0000
f0223,-563.69750909,-563.71619065,1.0000
f0127,-564.09714926,-564.11457194,1.0000
f0128,-564.47362272,-564.49457144,1.0000
f0224,-564.33276048,-564.35249359,1.0000
f0129,-564.49313942,-564.51013949,1.0000
f0130,-562.53889277,-562.55607854,1.0000
f0225,-563.14731815,-563.15909674,1.0000
f0131,-565.65348656,-565.67031734,1.0000
f0132,-565.72982924,-565.74558859,1.0000
f0226,-564.50041861,-564.51460204,1.0000
f0133,-563.67116207,-563.69120167,1.0000
f0134,-563.88788066,-563.90404632,1.0000
f0227,-564.32867076,-564.34462884,1.0000
f0135,-562.42125490,-562.44286498,1.0000
f0136,-565.18354999,-565.20322996,1.0000
f0228,-564.68570326,-564.70451254,1.0000
f0137,-564.47199037,-564.48990895,1.0000
f0138,-565.75720042,-565.77762010,1.0000
f0229,-565.28958963,-565.30895665,1.0000
f0139,-566.06815980,-566.08294404,1.0000
f0140,-563.90433790,-563.92430558,1.0000
f0230,-564.49738943,-564.51853958,1.0000
f0141,-566.11630619,-566.13212555,1.0000
f0142,-564.41735160,-564.43769179,1.0000
f0231,-564.17881969,-564.19052741,1.0000
f0143,-564.63429519,-564.65192240,1.0000
f0232,-566.31249338,-566.33258459,1.0000
f0145,-565.97080583,-565.99016122,1.0000
f0146,-564.37420905,-564.39258187,1.0000
f0233,-565.62381185,-565.64404411,1.0000
