ns,ny,mobility,winding,mean,variance,chi,curvature,curvature_fd,fd_error,amplitude,exact_log_capacity,lower,upper,quadratic,response_lower,response_upper,tight_lower,tight_upper,frozen_width,response_width,series_upper,parallel_lower,series_parallel_width,gap_identity_error
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,0.0,2.2204460492503128e-16,-2.4424906541753412e-15,2.4424906541753412e-15,-0.0,-2.2204460492503128e-16,0.0,-2.2204460492503128e-16,0.0,4.8849813083506825e-15,2.2204460492503128e-16,-0.0,0.0,-0.0,2.6645352590889234e-15
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,0.125,-0.0011624038768909691,-0.0017284227206669383,0.0017284227206669383,-0.0011630411210609539,-0.0011625440073320839,-0.0011604174538670554,-0.0011625440073320839,-0.0011604174538670554,0.0034568454413338766,2.126553465028446e-06,0.0017261440386146247,-0.001166014582140394,0.0028921586207550187,5.309338038661515e-16
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,0.25,-0.0046419834021212995,-0.006911571179492097,0.006911571179492097,-0.004652164484243814,-0.004644229355328055,-0.0046097879275920515,-0.004644229355328055,-0.0046097879275920515,0.013823142358984193,3.444142773600337e-05,0.006875311905481233,-0.004656608815664782,0.011531920721146015,3.131175874138137e-16
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,0.375,-0.01041595306958821,-0.015543061671504143,0.015543061671504143,-0.010467370089548579,-0.010427355420533916,-0.010249460688501648,-0.010427355420533916,-0.010249460688501648,0.031086123343008285,0.00017789473203226776,0.015361158100019718,-0.010449550285755095,0.025810708385774813,4.0245584642661925e-16
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,0.5,-0.018446704065515754,-0.02761217470741891,0.02761217470741891,-0.01860865793697525,-0.018482881025455093,-0.017904875615942152,-0.018482881025455093,-0.017904875615942152,0.05522434941483782,0.0005780054095129404,0.027044446372284123,-0.018508169788078604,0.04555261616036273,2.7408630920433552e-15
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,0.625,-0.028682346584381464,-0.043103741927598895,0.043103741927598895,-0.02907602802652383,-0.028771097793916896,-0.027309942067299937,-0.028771097793916896,-0.027309942067299937,0.08620748385519779,0.0014611557266169597,0.04173955689191724,-0.028781930604243316,0.07052148749616055,1.1379786002407855e-15
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,0.75,-0.04105745247097237,-0.061998001100221974,0.061998001100221974,-0.041869480358194315,-0.04124254124471942,-0.038084477866921554,-0.04124254124471942,-0.038084477866921554,0.12399600220044395,0.003158063377797865,0.05922268219329938,-0.041207209429606914,0.1004298916229063,1.3600232051658168e-15
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,0.875,-0.05549398134171297,-0.08427043149697239,0.08427043149697239,-0.05698901493198671,-0.055839110845778334,-0.04970435512851331,-0.055839110845778334,-0.04970435512851331,0.16854086299394477,0.006134755717265024,0.0792409844723743,-0.055708272635989285,0.13494925710836359,3.608224830031759e-15
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,1.0,-0.07190236837625694,-0.10989158406280809,0.10989158406280809,-0.07443463174790099,-0.07249536573196368,-0.06146450802076686,-0.07249536573196368,-0.06146450802076686,0.21978316812561619,0.011030857711196815,0.10152199249651644,-0.07219842671723671,0.17372041921375314,2.8449465006019636e-16
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06,1.125,-0.09018274720258468,-0.13882692200567184,0.13882692200567184,-0.09420633080593721,-0.09113996051599875,-0.0724361391791867,-0.09113996051599875,-0.0724361391791867,0.2776538440113437,0.018703821336812046,0.12578260924072554,-0.09058131709901644,0.216363926339742,1.0269562977782698e-15
