ns,ny,mobility,winding,mean,variance,chi,curvature,curvature_fd,fd_error
161,64,1e-05,2,6.682909256231618e-18,0.2212606829690532,0.8374409338914063,-0.14932482298905536,-0.14932278298036858,2.0400086867822242e-06
161,64,3.1622776601683795e-05,2,6.682909256231618e-18,0.2212606829690532,0.8374181229664066,-0.14931472866736623,-0.1493126875363876,2.0411309786250165e-06
161,64,0.0001,2,6.682909256231618e-18,0.2212606829690532,0.8373460886534823,-0.1492828519448165,-0.14928080728250218,2.0446623143210996e-06
161,64,0.00031622776601683794,2,6.682909256231618e-18,0.2212606829690532,0.8371192823025918,-0.14918248528861705,-0.1491804296086487,2.0556799683602023e-06
161,64,0.001,2,6.682909256231618e-18,0.2212606829690532,0.8364114706195309,-0.14886926349580198,-0.1488671743858391,2.089109962882807e-06
161,64,0.0031622776601683794,2,6.682909256231618e-18,0.2212606829690532,0.8342560881991328,-0.14791546072300843,-0.14791327768997034,2.1830330380889773e-06
161,64,0.01,2,6.682909256231618e-18,0.2212606829690532,0.8280577310353064,-0.14517255524429973,-0.14517015421928503,2.401025014697744e-06
161,64,0.03162277660168379,2,6.682909256231618e-18,0.2212606829690532,0.811983737735868,-0.13805946977335226,-0.13805674713012414,2.722643228120214e-06
161,64,0.1,2,6.682909256231618e-18,0.2212606829690532,0.7756661771343384,-0.12198817324842343,-0.12198540218481213,2.7710636112954212e-06
161,64,0.31622776601683794,2,6.682909256231618e-18,0.2212606829690532,0.704777885284064,-0.09061858950982088,-0.0906165808301095,2.0086797113821886e-06
161,64,1.0,2,6.682909256231618e-18,0.2212606829690532,0.5910675551097243,-0.040299338879798974,-0.04029880783237806,5.310474209124783e-07
161,64,3.1622776601683795,2,6.682909256231618e-18,0.2212606829690532,0.4553561895413903,0.019755839984825885,0.019755081656264214,7.583285616709345e-07
161,64,10.0,2,6.682909256231618e-18,0.2212606829690532,0.3323366629501353,0.07419460892904725,0.07419341792553782,1.1910035094264693e-06
