x,V,nu
-1.110740493662441875e+00,4.370917217848841463e-01,4.861909233708893309e-05
-1.108338892595063463e+00,4.173876663297816925e-01,5.090424186567124159e-05
-1.105937291527685051e+00,3.981792164074977047e-01,5.327752708432628367e-05
-1.103535690460307084e+00,3.794634275582596805e-01,5.574152123671144692e-05
-1.101134089392928672e+00,3.612373617093995737e-01,5.829884660392135637e-05
-1.098732488325550483e+00,3.434980871753761655e-01,6.095217530130643183e-05
-1.096330887258172293e+00,3.262426786577543592e-01,6.370422998312234787e-05
-1.093929286190793881e+00,3.094682172452166702e-01,6.655778433991077557e-05
-1.091527685123415692e+00,2.931717904135626718e-01,6.951566417047263537e-05
-1.089126084056037502e+00,2.773504920257017226e-01,7.258074816493300101e-05
-1.086724482988659091e+00,2.620014223316589064e-01,7.575596863582601730e-05
-1.084322881921280901e+00,2.471216879685766143e-01,7.904431269113945820e-05
-1.081921280853902712e+00,2.327084019607082166e-01,8.244882311511493394e-05
-1.079519679786524300e+00,2.187586837194219203e-01,8.597259946443627082e-05
-1.077118078719146332e+00,2.052696590432060986e-01,8.961879937415325066e-05
-1.074716477651767921e+00,1.922384601176526930e-01,9.339063953137977006e-05
-1.072314876584389731e+00,1.796622255154789460e-01,9.729139719506565693e-05
-1.069913275517011542e+00,1.675381001965108585e-01,1.013244114659468800e-04
-1.067511674449633130e+00,1.558632355076881304e-01,1.054930845638496983e-04
-1.065110073382254940e+00,1.446347891830704058e-01,1.098008838320769555e-04
-1.062708472314876751e+00,1.338499253438258929e-01,1.142513431201754888e-04
-1.060306871247498339e+00,1.235058144982397188e-01,1.188480643258316735e-04
-1.057905270180120150e+00,1.135996335417133046e-01,1.235947194951571748e-04
-1.055503669112741960e+00,1.041285657567589534e-01,1.284950526587253438e-04
-1.053102068045363549e+00,9.508980081300567877e-02,1.335528818163210518e-04
-1.050700466977985359e+00,8.648053476719691490e-02,1.387721012178139482e-04
-1.048298865910607169e+00,7.829797006319051678e-02,1.441566835008253487e-04
-1.045897264843228758e+00,7.053931553195673387e-02,1.497106819280435758e-04
-1.043495663775850790e+00,6.320178639158473277e-02,1.554382331043046965e-04
-1.041094062708472379e+00,5.628260424727257044e-02,1.613435596683840823e-04
-1.038692461641094189e+00,4.977899709133788014e-02,1.674309726299202765e-04
-1.036290860573715999e+00,4.368819930320966965e-02,1.737048744287601428e-04
-1.033889259506337588e+00,3.800745164943210991e-02,1.801697622103885712e-04
-1.031487658438959398e+00,3.273400128366485418e-02,1.868302306143991847e-04
-1.029086057371581209e+00,2.786510174668075171e-02,1.936909751733409467e-04
-1.026684456304202797e+00,2.339801296636748879e-02,2.007567958218043301e-04
-1.024282855236824608e+00,1.933000125772798422e-02,2.080326001311664987e-04
-1.021881254169446418e+00,1.565833932287881078e-02,2.155234075453826034e-04
-1.019479653102068006e+00,1.238030625105080058e-02,2.232343531998310878e-04
-1.017078052034690039e+00,9.493187518590710458e-03,2.311706916773533026e-04
-1.014676450967311627e+00,6.994274988957600685e-03,2.393378014912975139e-04
-1.012274849899933438e+00,4.880866912726959314e-03,2.477411893888246085e-04
-1.009873248832555248e+00,3.150267927587843339e-03,2.563864949661190840e-04
-1.007471647765176836e+00,1.799789058343753212e-03,2.652794954180548795e-04
-1.005070046697798647e+00,8.267477169131289775e-04,2.744261106158966284e-04
-1.002668445630420457e+00,2.284677023285218845e-04,2.838324081650967488e-04
-1.000266844563042046e+00,2.279200737030282435e-06,2.935046083752247507e-04
-9.978652434956638562e-01,1.455187854003016238e-04,3.034490909571096432e-04
-9.954636424282856666e-01,6.555294166943898947e-04,3.136723999569015564e-04
-9.930620413609073660e-01,1.529660442109937379e-03,3.241812494223405747e-04
-9.906604402935290654e-01,2.765267596251971913e-03,3.349825301767022354e-04
-9.882588392261508758e-01,4.359713000839940400e-03,3.460833158316715388e-04
