ns,ny,mobility,winding,mean,variance,chi,curvature,curvature_fd,fd_error
161,64,1e-05,0,-3.183057921145141e-17,0.22126068296905327,0.33344531328390425,0.0737040074690001,0.07370208956215771,1.9179068423968992e-06
161,64,3.1622776601683795e-05,0,-3.183057921145141e-17,0.22126068296905327,0.3334381618965248,0.0737071721107116,0.07370525413629686,1.9179744147335143e-06
161,64,0.0001,0,-3.183057921145141e-17,0.22126068296905327,0.3334155918210542,0.0737171598513382,0.07371524165974969,1.9181915885124745e-06
161,64,0.00031622776601683794,0,-3.183057921145141e-17,0.22126068296905327,0.3333446586878363,0.07374854927834004,0.07374663040367135,1.9188746686882308e-06
161,64,0.001,0,-3.183057921145141e-17,0.22126068296905327,0.33312456053941325,0.07384594741162065,0.07384402639297731,1.9210186433388232e-06
161,64,0.0031622776601683794,0,-3.183057921145141e-17,0.22126068296905327,0.3324658206342482,0.07413745389425225,0.07413552635894562,1.927535306631145e-06
161,64,0.01,0,-3.183057921145141e-17,0.22126068296905327,0.33065765199692065,0.07493760714948886,0.07493566172734197,1.9454221468900856e-06
161,64,0.03162277660168379,0,-3.183057921145141e-17,0.22126068296905327,0.3264153282854842,0.07681492603302534,0.07681294174497957,1.9842880457643375e-06
161,64,0.1,0,-3.183057921145141e-17,0.22126068296905327,0.318218368478761,0.08044225588323625,0.08044020424386603,2.0516393702263436e-06
161,64,0.31622776601683794,0,-3.183057921145141e-17,0.22126068296905327,0.3047256185202241,0.08641308602514933,0.08641091042980013,2.1755953491936486e-06
161,64,1.0,0,-3.183057921145141e-17,0.22126068296905327,0.2848132236250043,0.09522474621328098,0.0952223430611655,2.403152115471041e-06
161,64,3.1622776601683795,0,-3.183057921145141e-17,0.22126068296905327,0.2553309621860279,0.10827127681620118,0.10826848959538911,2.7872208120671704e-06
161,64,10.0,0,-3.183057921145141e-17,0.22126068296905327,0.21024907649170962,0.12822097445271646,0.12821750821640768,3.4662363087856196e-06
