c,exact,elo,ehi
1.100000000000000006e-01,-6.135201270719095046e-01,8.789526033181616071e-05,2.791326801588452922e-01
1.600000000000000033e-01,-4.525037927407430383e-01,4.712837796999602702e-05,2.083968427565986159e-01
2.200000000000000011e-01,-2.662244761535376703e-01,-2.891329850540635960e-07,1.191387605805786509e-01
2.999999999999999889e-01,-1.002139635458155209e-01,-3.033104067273750815e-05,3.909305970375617084e-02
4.000000000000000222e-01,-2.078218682852281743e-02,-2.712115352850388850e-05,5.876396325915900914e-03
5.200000000000000178e-01,-1.574465677076394886e-03,-1.405226567807401662e-05,3.867934957297086609e-04
6.600000000000000311e-01,2.005970087991533479e-03,-5.152635915002968386e-06,1.750682777028290601e-05
8.199999999999999512e-01,5.280178149732052233e-03,1.071086157701690855e-06,-6.941201991985529451e-07
