g,ln,tst,od
0.061237,-1.5011,-1.9928,-0.82754
0.20412,-1.4818,-1.9928,-0.82754
0.61237,-1.4741,-1.9928,-0.82754
2.0412,-1.1989,-1.9928,-0.82754
6.1237,-0.92849,-1.9928,-0.82754
20.412,-0.83342,-1.9928,-0.82754
61.237,-0.82154,-1.9928,-0.82754
