pred,elo,ehi,meas,emeas
6.527475581411978922e-02,7.027324542157620257e-02,7.027324542157620257e-02,2.945105788580679174e-01,6.576258566122941684e-02
3.106399211283190631e-01,1.038635634658562346e-01,1.038635634658562346e-01,7.703126241904956206e-01,6.617342959976377226e-02
