pred,elo,ehi,meas,emeas
5.131709543303375476e-02,1.011094656163552541e-02,1.011094656163552541e-02,2.125689596951924332e-01,8.092401372601827625e-02
8.719427560973284919e-02,1.621005697591397510e-02,1.621005697591397510e-02,1.792563044363823521e-01,6.622005282303726481e-02
1.339605822287118775e-01,1.586840165717917639e-02,1.586840165717920415e-02,1.296352630223202573e-01,7.988640772726325612e-02
5.133275086739008675e-02,2.824299786352524322e-02,2.824299786352524322e-02,1.340552163458884893e-01,6.714535921619879666e-02
2.126938747208875213e-01,8.703580651711373406e-02,8.703580651711373406e-02,3.623368115263908007e-01,8.366345691613304159e-02
6.733010843537812207e-01,1.711880186940071269e-01,1.711880186940071269e-01,8.982287676855192915e-01,9.114707684334989735e-02
