x,V,mu,lev,sens,phi
0.702468,2.05265,0.128395,0.00244196,-0.0881788,-0.999375
0.712075,1.94399,0.143131,0.00217225,-0.09887,-0.999475
0.721681,1.83688,0.159314,0.00193338,-0.110553,-0.999565
0.731288,1.73143,0.177032,0.00172173,-0.123295,-0.999646
0.740894,1.62776,0.19637,0.00153412,-0.137159,-0.999718
0.7505,1.526,0.217404,0.00136772,-0.152201,-0.999783
0.760107,1.42628,0.240202,0.00122004,-0.168472,-0.999841
0.769713,1.32872,0.264816,0.00108889,-0.186012,-0.999893
0.77932,1.23346,0.291283,0.000972325,-0.204848,-0.99994
0.788926,1.14063,0.319619,0.000868648,-0.224992,-0.999983
0.798532,1.05036,0.349813,0.000776352,-0.246441,-1.00002
0.808139,0.962782,0.38183,0.000694114,-0.269168,-1.00006
0.817745,0.87804,0.415598,0.00062077,-0.293126,-1.00009
0.827352,0.796268,0.45101,0.000555295,-0.318239,-1.00012
0.836958,0.717608,0.487919,0.000496789,-0.344404,-1.00014
0.846564,0.642201,0.526134,0.000444458,-0.371488,-1.00017
0.856171,0.570191,0.565419,0.000397606,-0.399323,-1.00019
0.865777,0.501721,0.605489,0.00035562,-0.427709,-1.00021
0.875384,0.436939,0.646012,0.000317961,-0.456412,-1.00022
0.88499,0.375993,0.686609,0.000284154,-0.485163,-1.00024
0.894596,0.319032,0.726854,0.000253783,-0.513663,-1.00026
0.904203,0.266209,0.766281,0.000226479,-0.541582,-1.00027
0.913809,0.217675,0.804388,0.00020192,-0.568565,-1.00028
0.923416,0.173587,0.840646,0.00017982,-0.594239,-1.00029
0.933022,0.1341,0.874505,0.000159929,-0.618213,-1.0003
0.942628,0.0993718,0.905408,0.000142023,-0.640096,-1.00031
0.952235,0.0695628,0.932804,0.000125907,-0.659497,-1.00032
0.961841,0.0448339,0.956158,0.000111406,-0.676038,-1.00033
0.971448,0.0253481,0.974973,9.83661e-05,-0.689367,-1.00034
0.981054,0.0112698,0.988796,8.66492e-05,-0.699164,-1.00035
0.99066,0.00276527,0.997241,7.61324e-05,-0.705157,-1.00036
1.00027,2.2792e-06,1,6.67056e-05,-0.707126,-1.00036
1.00987,0.00315027,0.996857,5.82697e-05,-0.704921,-1.00037
1.01948,0.0123803,0.987698,5.07351e-05,-0.698459,-1.00037
1.02909,0.0278651,0.972522,4.40207e-05,-0.68774,-1.00038
1.03869,0.049779,0.951442,3.80525e-05,-0.672845,-1.00038
1.0483,0.078298,0.924691,3.27629e-05,-0.653938,-1.00039
1.05791,0.1136,0.892617,2.80897e-05,-0.631264,-1.00039
1.06751,0.155863,0.855678,2.39757e-05,-0.605149,-1.0004
1.07712,0.20527,0.81443,2.03679e-05,-0.575984,-1.0004
1.08672,0.262001,0.769512,1.72173e-05,-0.544223,-1.00041
1.09633,0.326243,0.721632,1.44782e-05,-0.510366,-1.00041
1.10594,0.398179,0.671543,1.21085e-05,-0.474946,-1.00041
1.11554,0.477998,0.620025,1.00689e-05,-0.438514,-1.00042
1.12515,0.565889,0.567856,8.32295e-06,-0.401621,-1.00042
1.13476,0.662043,0.515798,6.83703e-06,-0.364805,-1.00042
1.14436,0.766651,0.464567,5.58011e-06,-0.328574,-1.00042
1.15397,0.879908,0.414822,4.52368e-06,-0.293393,-1.00043
1.16358,1.00201,0.367142,3.6417e-06,-0.259671,-1.00043
1.17318,1.13315,0.322017,2.91052e-06,-0.227757,-1.00043
1.18279,1.27354,0.279841,2.30877e-06,-0.197928,-1.00043
1.19239,1.42336,0.240904,1.81728e-06,-0.170389,-1.00044
1.202,1.58283,0.205394,1.41901e-06,-0.145274,-1.00044
1.21161,1.75214,0.173403,1.09891e-06,-0.122647,-1.00044
1.22121,1.93151,0.14493,8.43796e-07,-0.102509,-1.00044
1.23082,2.12113,0.119896,6.42249e-07,-0.0848027,-1.00044
1.24043,2.32123,0.0981532,4.8445e-07,-0.0694244,-1.00045
1.25003,2.532,0.0795,3.62046e-07,-0.0562311,-1.00045
1.25964,2.75366,0.0636943,2.68001e-07,-0.0450517,-1.00045
1.26925,2.98643,0.0504674,1.96452e-07,-0.0356963,-1.00045
1.27885,3.23051,0.0395372,1.42565e-07,-0.0279653,-1.00045
1.28846,3.48614,0.030619,1.02399e-07,-0.0216574,-1.00045
1.29807,3.75351,0.0234353,7.27764e-08,-0.0165763,-1.00045
1.30767,4.03286,0.0177236,5.1167e-08,-0.0125363,-1.00046
1.31728,4.32441,0.0132414,3.5578e-08,-0.00936598,-1.00046
1.32688,4.62838,0.00977064,2.44598e-08,-0.00691104,-1.00046
1.33649,4.94499,0.00711903,1.66224e-08,-0.0050355,-1.00046
1.3461,5.27447,0.00512069,1.11632e-08,-0.00362202,-1.00046
1.3557,5.61705,0.00363535,7.40681e-09,-0.00257141,-1.00046
1.36531,5.97296,0.00254669,4.85406e-09,-0.00180136,-1.00046
1.37492,6.34244,0.00176001,3.14122e-09,-0.00124492,-1.00046
1.38452,6.7257,0.00119968,2.00677e-09,-0.000848578,-1.00047
1.39413,7.123,0.000806346,1.2653e-09,-0.00057036,-1.00047
1.40374,7.53456,0.000534296,7.87166e-10,-0.000377929,-1.00047
1.41334,7.96063,0.000348934,4.83066e-10,-0.000246816,-1.00047
1.42295,8.40144,0.000224545,2.92347e-10,-0.00015883,-1.00047
1.43256,8.85723,0.000142349,1.74433e-10,-0.00010069,-1.00047
1.44216,9.32826,8.88773e-05,1.02585e-10,-6.2867e-05,-1.00047
1.45177,9.81475,5.46397e-05,5.94489e-11,-3.86493e-05,-1.00047
1.46137,10.317,3.30674e-05,3.39388e-11,-2.33901e-05,-1.00047
1.47098,10.8351,1.9695e-05,1.90821e-11,-1.39313e-05,-1.00047
1.48059,11.3695,1.15417e-05,1.05637e-11,-8.16404e-06,-1.00047
1.49019,11.9204,6.65323e-06,5.75635e-12,-4.70617e-06,-1.00047
1.4998,12.488,3.77167e-06,3.08677e-12,-2.6679e-06,-1.00048
1.50941,13.0726,2.10214e-06,1.62843e-12,-1.48696e-06,-1.00048
1.51901,13.6743,1.15161e-06,8.44938e-13,-8.146e-07,-1.00048
1.52862,14.2936,6.19951e-07,4.31073e-13,-4.38526e-07,-1.00048
1.53823,14.9307,3.27868e-07,2.16186e-13,-2.3192e-07,-1.00048
1.54783,15.5857,1.70302e-07,1.06546e-13,-1.20465e-07,-1.00048
1.55744,16.259,8.68572e-08,5.15894e-14,-6.14392e-08,-1.00048
1.56704,16.9508,4.34852e-08,2.45343e-14,-3.07596e-08,-1.00048
1.57665,17.6615,2.13654e-08,1.14566e-14,-1.5113e-08,-1.00048
1.58626,18.3912,1.02991e-08,5.25157e-15,-7.28518e-09,-1.00048
1.59586,19.1403,4.86955e-09,2.36237e-15,-3.44453e-09,-1.00048
1.60547,19.9089,2.25768e-09,1.04258e-15,-1.597e-09,-1.00048
1.61508,20.6975,1.02613e-09,4.51286e-16,-7.25843e-10,-1.00048
1.62468,21.5062,4.57073e-10,1.91536e-16,-3.23317e-10,-1.00048
1.63429,22.3353,1.99479e-10,7.96857e-17,-1.41104e-10,-1.00048
1.6439,23.1852,8.52736e-11,3.24876e-17,-6.03196e-11,-1.00048
1.6535,24.056,3.56958e-11,1.29759e-17,-2.525e-11,-1.00048
1.66311,24.9481,1.4628e-11,5.07586e-18,-1.03473e-11,-1.00048
1.67272,25.8617,5.86665e-12,1.94407e-18,-4.14987e-12,-1.00049
1.68232,26.7972,2.30204e-12,7.2881e-19,-1.62839e-12,-1.00049
1.69193,27.7548,8.83549e-13,2.67356e-19,-6.24995e-13,-1.00049
