x,V,Vhat_saddle,dV_saddle,Vhat_wiggle,dV_wiggle,Vhat_slope,dV_slope,Vhat_well,dV_well,Vhat_wells,dV_wells,Vhat_ripple,dV_ripple
0.0516344,11.9361,18.5411,6.60504,13.5882,1.65205,11.9382,0.0021051,11.9361,1.06653e-10,11.9361,7.61811e-11,11.9397,0.00362357
0.0612408,11.9102,18.3579,6.44778,13.8229,1.91276,11.9127,0.00254401,11.9102,1.59563e-10,11.9102,1.13316e-10,11.9126,0.00239764
0.0708472,11.8798,18.1484,6.26851,14.0311,2.15128,11.8829,0.00306185,11.8798,2.37743e-10,11.8798,1.68419e-10,11.8809,0.00108348
0.0804536,11.8452,17.9144,6.06928,14.2105,2.36533,11.8488,0.00367001,11.8452,3.5278e-10,11.8452,2.49649e-10,11.8449,-0.000270556
0.09006,11.8061,17.6585,5.85233,14.3592,2.55311,11.8105,0.00438097,11.8061,5.21336e-10,11.8061,3.68763e-10,11.8045,-0.00161463
0.0996664,11.7628,17.3828,5.62003,14.4761,2.7133,11.768,0.00520825,11.7628,7.67274e-10,11.7628,5.42622e-10,11.7599,-0.00289929
0.109273,11.7151,17.09,5.37487,14.5602,2.84505,11.7213,0.00616641,11.7151,1.12461e-09,11.7151,7.95268e-10,11.7111,-0.00407726
0.118879,11.6632,16.7826,5.11936,14.6112,2.94802,11.6705,0.00727095,11.6632,1.64162e-09,11.6632,1.16083e-09,11.6581,-0.00510519
0.128486,11.6071,16.4631,4.85604,14.6294,3.02236,11.6156,0.00853825,11.6071,2.3865e-09,11.6071,1.68753e-09,11.6011,-0.00594524
0.138092,11.5467,16.1341,4.58741,14.6153,3.06864,11.5567,0.0099854,11.5467,3.45517e-09,11.5467,2.44319e-09,11.5401,-0.00656651
0.147698,11.4822,15.7981,4.3159,14.57,3.08785,11.4938,0.01163,11.4822,4.98191e-09,11.4822,3.52275e-09,11.4752,-0.00694614
0.157305,11.4135,15.4573,4.04384,14.4949,3.08138,11.427,0.0134901,11.4135,7.15387e-09,11.4135,5.05856e-09,11.4064,-0.00707014
0.166911,11.3407,15.1141,3.77342,14.3916,3.05092,11.3563,0.0155836,11.3407,1.02307e-08,11.3407,7.2342e-09,11.3338,-0.00693397
0.176518,11.2638,14.7705,3.50668,14.2623,2.99843,11.2818,0.0179283,11.2638,1.4571e-08,11.2638,1.03032e-08,11.2573,-0.00654263
0.186124,11.183,14.4284,3.24545,14.1091,2.92608,11.2035,0.0205414,11.183,2.06676e-08,11.183,1.46142e-08,11.1771,-0.00591052
0.19573,11.0982,14.0895,2.99139,13.9344,2.83622,11.1216,0.023439,11.0982,2.91951e-08,11.0982,2.06441e-08,11.0931,-0.00506091
0.205337,11.0094,13.7553,2.74593,13.7407,2.73127,11.0361,0.0266358,11.0094,4.10723e-08,11.0094,2.90425e-08,11.0054,-0.00402506
0.214943,10.9168,13.4271,2.51029,13.5305,2.61371,10.9469,0.0301448,10.9168,5.75449e-08,10.9168,4.06904e-08,10.914,-0.00284108
0.22455,10.8204,13.1059,2.28548,13.3064,2.48599,10.8543,0.0339765,10.8204,8.02941e-08,10.8204,5.67765e-08,10.8188,-0.00155255
0.234156,10.7202,12.7925,2.07229,13.0707,2.35053,10.7583,0.0381384,10.7202,1.11578e-07,10.7202,7.88977e-08,10.72,-0.000206894
0.243763,10.6163,12.4876,1.8713,12.8259,2.20963,10.6589,0.0426349,10.6163,1.54416e-07,10.6163,1.09189e-07,10.6174,0.00114638
0.253369,10.5088,12.1916,1.68288,12.5742,2.06545,10.5562,0.0474665,10.5088,2.12827e-07,10.5088,1.50491e-07,10.5112,0.00245747
0.262975,10.3976,11.9049,1.50724,12.3177,1.92002,10.4503,0.0526293,10.3976,2.92131e-07,10.3976,2.06568e-07,10.4013,0.00367812
0.272582,10.283,11.6274,1.3444,12.0582,1.77515,10.3411,0.0581148,10.283,3.99345e-07,10.283,2.8238e-07,10.2878,0.00476342
0.282188,10.165,11.3592,1.19425,11.7974,1.63247,10.2289,0.0639093,10.165,5.43673e-07,10.165,3.84435e-07,10.1706,0.00567343
0.291795,10.0435,11.1001,1.05653,11.5369,1.49337,10.1135,0.069994,10.0435,7.37132e-07,10.0435,5.21231e-07,10.0499,0.00637465
0.301401,9.91881,10.8497,0.930863,11.2779,1.35906,9.99515,0.0763442,9.91881,9.95341e-07,9.91881,7.03813e-07,9.92565,0.00684129
0.311007,9.79086,10.6076,0.816787,11.0214,1.23052,9.87379,0.0829298,9.79086,1.3385e-06,9.79086,9.4646e-07,9.79791,0.00705617
0.320614,9.65976,10.3735,0.713757,10.7683,1.10852,9.74948,0.0897146,9.65976,1.79259e-06,9.65976,1.26755e-06,9.66677,0.00701139
0.33022,9.5256,10.1468,0.62117,10.5192,0.993627,9.62226,0.0966574,9.5256,2.39092e-06,9.5256,1.69063e-06,9.53231,0.00670859
0.339827,9.38846,9.92684,0.538381,10.2747,0.88625,9.49217,0.103711,9.38847,3.1759e-06,9.38847,2.2457e-06,9.39462,0.00615891
0.349433,9.24843,9.71315,0.464716,10.035,0.786612,9.35925,0.110824,9.24843,4.20133e-06,9.24843,2.97079e-06,9.25381,0.00538259
0.359039,9.10559,9.50508,0.399488,9.80038,0.694793,9.22353,0.11794,9.10559,5.53511e-06,9.10559,3.91391e-06,9.11,0.00440819
0.368646,8.96003,9.30204,0.342011,9.57077,0.610742,9.08503,0.125,8.96004,7.26246e-06,8.96004,5.13534e-06,8.9633,0.00327156
0.378252,8.81185,9.10346,0.291604,9.34615,0.534299,8.94379,0.131939,8.81186,9.48988e-06,8.81186,6.71036e-06,8.81387,0.00201455
0.387859,8.66114,8.90875,0.247609,9.12635,0.46521,8.79984,0.138694,8.66116,1.23497e-05,8.66115,8.73255e-06,8.66183,0.0006834
0.397465,8.508,8.7174,0.209391,8.91115,0.40315,8.6532,0.145198,8.50802,1.60055e-05,8.50802,1.13176e-05,8.50733,-0.000672898
0.407071,8.35254,8.52888,0.176347,8.70027,0.347735,8.50392,0.151385,8.35256,2.06587e-05,8.35255,1.46079e-05,8.35053,-0.00200443
0.416678,8.19484,8.34275,0.14791,8.49338,0.298543,8.35203,0.15719,8.19487,2.65555e-05,8.19486,1.87776e-05,8.19158,-0.00326221
0.426284,8.03502,8.15857,0.123551,8.29015,0.255126,8.19757,0.162548,8.03506,3.39958e-05,8.03505,2.40387e-05,8.03062,-0.00439993
0.435891,7.87319,7.97597,0.102781,8.09021,0.21702,8.04059,0.167402,7.87323,4.33426e-05,7.87322,3.06478e-05,7.86781,-0.00537574
0.445497,7.70945,7.7946,0.0851526,7.89321,0.18376,7.88115,0.171695,7.70951,5.5033e-05,7.70949,3.89142e-05,7.7033,-0.00615372
0.455103,7.54392,7.61418,0.070259,7.69881,0.154889,7.7193,0.175377,7.54399,6.95904e-05,7.54397,4.92079e-05,7.53722,-0.00670525
0.46471,7.37671,7.43445,0.0577331,7.50668,0.129962,7.55512,0.178405,7.3768,8.76385e-05,7.37678,6.19698e-05,7.3697,-0.00701002
0.474316,7.20795,7.2552,0.0472462,7.3165,0.108553,7.38869,0.180742,7.20806,0.000109916,7.20803,7.77221e-05,7.20089,-0.00705683
0.483923,7.03774,7.07625,0.0385059,7.12801,0.0902635,7.2201,0.182361,7.03788,0.000137291,7.03784,9.70795e-05,7.0309,-0.00684395
0.493529,6.86622,6.89747,0.031254,6.94094,0.0747185,7.04946,0.183241,6.86639,0.000170783,6.86634,0.000120762,6.85984,-0.00637921
0.503135,6.6935,6.71877,0.0252641,6.75508,0.0615741,6.87688,0.183371,6.69372,0.000211575,6.69365,0.000149606,6.68782,-0.00567972
0.512742,6.51972,6.54006,0.0203386,6.57024,0.050516,6.70247,0.182751,6.51998,0.000261038,6.51991,0.000184582,6.51495,-0.00477121
