dphi,mag,elo,ehi
4.799999999999999822e-01,7.195796082486072276e-02,5.265228580189763863e-02,1.679462910570036216e-01
6.199999999999999956e-01,1.997705034653543890e-02,1.547755934030257789e-02,1.239642396927518805e-02
8.000000000000000444e-01,-4.579904275323404793e-03,1.643270437291711149e-03,4.167491082785754544e-04
1.000000000000000000e+00,-1.772445383752914785e-02,-6.719584544864765085e-05,1.973147387937072839e-04
