xpre,xpath
1.646763150887409211e-03,1.120928196063147197e+00
-6.765956270695205887e-01,4.651732879920007946e+00
-6.441323746633571545e-01,2.137395312397980973e+00
1.255323765435605310e+00,-4.235644077007446384e+00
7.573965572722407558e-01,-1.901789732223434726e+00
4.972310123410590421e+00,7.104202353208250997e-01
3.835264923346070276e+00,1.408495732185834015e+00
-2.863068812131682961e+00,9.246590549177788887e-01
-2.109621026285260825e+00,5.282540292133504067e-01
-5.321921524950212756e-02,-2.082542707433706397e+00
3.260174588335271295e+00,2.976328684749777409e+00
9.674223020413457164e-01,-2.960297975507852897e+00
-2.508563202261111513e+00,-2.049860996495951326e-01
2.830116368392818771e+00,4.845460981304690051e-01
-2.767466587740528894e+00,-3.599081637762857611e-01
1.911443631476004157e-01,6.276958043687699274e-01
-6.184311640192490245e-01,8.529648221287899901e-01
-1.658528671928248599e+00,4.053654238593122017e+00
7.092126092922299563e-01,7.758986818566278032e-01
-2.870448127242585912e+00,2.373400672742249640e-01
-2.037616702631162013e+00,2.722075719389831505e+00
-2.163074653193465480e+00,4.465667570111182982e+00
3.149627446747775394e+00,1.314849750375032045e+00
-3.572188679177145332e+00,-2.586417679177042572e+00
1.860773315850170917e+00,1.769021133432143955e+00
1.433686238850544470e+00,-2.308061079257868187e-01
-9.772805464201219650e-01,3.820708492632221009e-01
-2.052929840262695649e+00,-1.981341174298592023e-01
-1.665701798317460458e+00,-5.803097061534643331e-01
1.224608041092945854e+00,6.599188525057396504e+00
5.869042900447816180e-01,-1.679390526388470306e+00
1.132669582425300803e-01,3.837170372428637677e-01
-1.480300421087914486e+00,2.870200045167411673e+00
8.109916487001207486e-01,2.740410196600429060e-01
-1.130764640266541221e+00,-1.959147081069826157e+00
8.526052942013286895e-01,7.830250619824354885e-01
-3.198985011494741570e+00,-3.200044281007112801e+00
3.986767266265509591e-01,1.123659852569627304e+00
4.933079416820785212e+00,2.455426950638038619e+00
-8.075055417871688235e-01,4.321027914416919913e+00
