g,ln,tst,od
0.061237,-0.71064,-1.0646,-0.29804
0.20412,-0.61804,-1.0646,-0.29804
0.61237,-0.59486,-1.0646,-0.29804
2.0412,-0.45112,-1.0646,-0.29804
6.1237,-0.33254,-1.0646,-0.29804
20.412,-0.29824,-1.0646,-0.29804
61.237,-0.29447,-1.0646,-0.29804
