x,name,rmse,total,sd_total,single,sd_single,defect_pct
1,S2,6.5,0.200,0.090,0.243,0.094,0.9
2,S4,9.3,0.104,0.090,0.143,0.093,0.0
3,S1,6.1,0.296,0.090,0.167,0.096,2.0
4,S3,7.5,0.499,0.089,0.303,0.097,6.9
5,S5,13.7,0.984,0.090,0.523,0.103,7.6
6,S6,19.9,1.514,0.088,1.453,0.093,2.5
