c,exact,elo,ehi
1.100000000000000006e-01,3.345797961971726520e-01,3.927588920937252759e-04,2.788278165270832720e-01
1.600000000000000033e-01,2.441889502320437888e-01,2.754028919312589974e-04,2.081685682426373529e-01
2.200000000000000011e-01,1.470633185433470602e-01,1.620982284120386918e-04,1.189763732191815582e-01
2.999999999999999889e-01,6.102381447258712482e-02,7.702447322144312380e-05,3.898570418986199021e-02
4.000000000000000222e-01,1.477421718596529619e-02,3.362269389033806233e-05,5.815652478497057229e-03
5.200000000000000178e-01,1.041944161223832838e-03,1.441438521044809476e-05,3.583268448411865495e-04
6.600000000000000311e-01,-2.177709039916758162e-03,5.086886932537029032e-06,7.267304922742908596e-06
8.199999999999999512e-01,-5.432035281094853112e-03,-1.171679645366359435e-06,1.548645603869497345e-06
